List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Timeframe,Revenue,Revenue Source,Revenue Timeframe,Business Description
Biotechnology Companies,9/2/2022 0:00,1,1,2200,Health Care and Medical,BD Integrated Diagnostic Solutions,7 Loveton Circle,Sparks,Maryland,21152,39.520199,-76.645271,1897,75000,2022-Q1,20200000000,Revenue,2021,"Infectious disease diagnostic solutions and specimen management:  Microbiology, molecular biology and point-of-care instrument systems, assays and informatics; and sample collection/transport devices."
Biotechnology Companies,9/2/2022 0:00,1,1,2200,Health Care and Medical,BD Integrated Diagnostic Solutions,7 Loveton Circle,Sparks,Maryland,21152,39.520199,-76.645271,1897,75000,2022-Q1,20200000000,Revenue,2021,"Infectious disease diagnostic solutions and specimen management:  Microbiology, molecular biology and point-of-care instrument systems, assays and informatics; and sample collection/transport devices."
Biotechnology Companies,9/2/2022 0:00,2,,697,Health Care and Medical,Medifast,100 International Drive,Baltimore,Maryland,21202,39.439695,-76.773147,1981,1084,2022-Q2,1526087000,Revenue,2021,"Medifast (NYSE: MED) is the global company behind one of the fastest-growing health and wellness communities, OPTAVIA®, which offers scientifically developed products, clinically proven plans and the support of independent OPTAVIA Coaches and a Community to help Customers achieve Lifelong Transformation, One Healthy Habit at a Time®. As the publicly traded market leader by revenue in the U.S. $7 billion weight management industry, the company has impacted more than 2 million lives through its Community of OPTAVIA Coaches, who teach Customers how to develop holistic healthy habits through the proprietary Habits of Health® Transformational System. Medifast was recognized in 2022 as one of America's Best Mid-Sized Companies by Forbes, in 2020 and 2021 as one of FORTUNE's 100 Fastest-Growing Companies and was named to Forbes' 100 Most Trustworthy Companies in America list in 2017. For more information, visit MedifastInc.com or OPTAVIA.com and follow @Medifast on Twitter."
Biotechnology Companies,9/2/2022 0:00,3,2,484,Health Care and Medical,Emergent BioSolutions,400 Professional Drive,Gaithersburg,Maryland,20879,39.1609178,-77.2300378,,2505,2022-Q2,1792.7,"Revenue, Companywide",2021,"Emergent BioSolutions Inc. is a Gaithersburg-based, publicly traded, global life sciences company whose mission is to protect and enhance life."
Biotechnology Companies,9/2/2022 0:00,4,3,300,Health Care and Medical,"Smiths Detection, Inc",2202 Lakeside Blvd.,Edgewood,Maryland,21040,39.449391,-76.318702,1987,290,2018-Q1,,,,"Smiths Detection, part of Smiths Group, is a global leader in threat detection and screening technologies for aviation, ports and borders, defense and urban security markets. Our experience and history across more than 40 years at the frontline, enables us to deliver the solutions needed to protect society from the threat and illegal passage of explosives, prohibited weapons, contraband, biological warfare agents, toxic chemicals and narcotics."
Biotechnology Companies,9/2/2022 0:00,4,3,300,Health Care and Medical,"Smiths Detection, Inc",2202 Lakeside Blvd.,Edgewood,Maryland,21040,39.449391,-76.318702,1987,290,2018-Q1,,,,"Smiths Detection, part of Smiths Group, is a global leader in threat detection and screening technologies for aviation, ports and borders, defense and urban security markets. Our experience and history across more than 40 years at the frontline, enables us to deliver the solutions needed to protect society from the threat and illegal passage of explosives, prohibited weapons, contraband, biological warfare agents, toxic chemicals and narcotics."
Biotechnology Companies,9/2/2022 0:00,4,3,300,Health Care and Medical,"Smiths Detection, Inc",2202 Lakeside Blvd.,Edgewood,Maryland,21040,39.449391,-76.318702,1987,290,2018-Q1,,,,"Smiths Detection, part of Smiths Group, is a global leader in threat detection and screening technologies for aviation, ports and borders, defense and urban security markets. Our experience and history across more than 40 years at the frontline, enables us to deliver the solutions needed to protect society from the threat and illegal passage of explosives, prohibited weapons, contraband, biological warfare agents, toxic chemicals and narcotics."
Biotechnology Companies,9/2/2022 0:00,4,3,300,Health Care and Medical,"Smiths Detection, Inc",2202 Lakeside Blvd.,Edgewood,Maryland,21040,39.449391,-76.318702,1987,290,2018-Q1,,,,"Smiths Detection, part of Smiths Group, is a global leader in threat detection and screening technologies for aviation, ports and borders, defense and urban security markets. Our experience and history across more than 40 years at the frontline, enables us to deliver the solutions needed to protect society from the threat and illegal passage of explosives, prohibited weapons, contraband, biological warfare agents, toxic chemicals and narcotics."
Biotechnology Companies,9/2/2022 0:00,5,4,200,Health Care and Medical,Shimadzu Scientific Instruments Inc.,7102 Riverwood Road,Columbia,Maryland,21046,39.1765803,-76.8746727,,540,2022,,,,Shimadzu offers a wide range of analytical instrumentation for applications in multiple industries.
Biotechnology Companies,9/2/2022 0:00,5,4,200,Health Care and Medical,Shimadzu Scientific Instruments Inc.,7102 Riverwood Road,Columbia,Maryland,21046,39.1765803,-76.8746727,,540,2022,,,,Shimadzu offers a wide range of analytical instrumentation for applications in multiple industries.
