List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Fastest-Growing Private Companies,11/5/2021 0:00,1,0,Average percent change,219.5548355,Employers and Who's Who,Route One Apparel,1030 Cromwell Bridge Road,Towson,Maryland,21286,39.4006696,-76.5740634,,20,# employees,2022,1/25/2022,7074785,Revenue,2021,1/25/2022,"Route One Apparel is a rapidly growing community lifestyle brand specializing in trendy, affordable Maryland pride clothing and accessories.  Founded by owner Ali von Paris while still a student at University of Maryland, Route One Apparel has not only capitalized on the state's appetite for all things Maryland-related, but also fueled the flames.  Driven by its wide selection of creative and stylish designs and the passion of its staff, the company has been profitable and growing exponentially for nearly a decade.  The brand has built a large and loyal customer base - including more than 250,000 social media and email followers - that purchase Route One Apparel online, in stores at area retailers, and at sales events.
Route One Apparel has served over 150,000 unique customers since it's beginning.  It is sold in over 60 stores and carries licensing rights with University of Maryland, Old Bay, and National Bohemian."
Fastest-Growing Private Companies,11/5/2021 0:00,2,2,Average percent change,184.3787342,Employers and Who's Who,PM Consulting Group,100 West Road,Towson,Maryland,21204,39.4122246,-76.6150431,,140,# employees,2022-Q2,8/9/2022,34.2,Revenue,2021,8/9/2022,PM Consulting Group (PMCG) provides International Development and Advanced Healthcare Solutions to the Federal Government sector.
Fastest-Growing Private Companies,11/5/2021 0:00,3,,Average percent change,133.7881948,Employers and Who's Who,Chasen Cos.,1511 Eastern Ave.,Baltimore,Maryland,21231,39.285268,-76.596214,,14,# employees,2022,1/25/2022,22527342,Revenue,2021,1/25/2022,"Chasen Companies is a real estate firm that is committed to drastically revitalizing and transforming the communities it serves. Founded in 2016, the name evolved from Chasen Construction and Development in 2019 to better reflect the company's full suite of services, operations and structure. Today, Chasen Companies acquires and develops 38 luxury properties in the Greater Baltimore and Washington DC markets with a focus on the multifamily sector. It is committed to providing the highest quality product and service by building, owning and managing every step along the way. 

Chasen Companies' real estate business model is focused on purchasing Class C assets in historic areas and upgrading them to Class A. Each living and workspace is intentionally designed to provide a boutique setting, with moderate rents, commercial space, and outsourced amenities--all while maintaining the historic heritage of the property. 

Led by Founder and CEO, Brandon M. Chasen, Sr., Chasen Companies continues to evolve. As growth opportunities are identified, a clear, consistent process is followed to determine the company's path forward. This approach has led Chasen Companies to become even more multi-faceted over the last year, diversifying its investment strategy into yacht charters--a global industry that is expected to reach $17.19 billion by 2026."
Fastest-Growing Private Companies,11/5/2021 0:00,3,,Average percent change,133.7881948,Employers and Who's Who,Chasen Cos.,1511 Eastern Ave.,Baltimore,Maryland,21231,39.285268,-76.596214,,14,# employees,2022,1/25/2022,22527342,Revenue,2021,1/25/2022,"Chasen Companies is a real estate firm that is committed to drastically revitalizing and transforming the communities it serves. Founded in 2016, the name evolved from Chasen Construction and Development in 2019 to better reflect the company's full suite of services, operations and structure. Today, Chasen Companies acquires and develops 38 luxury properties in the Greater Baltimore and Washington DC markets with a focus on the multifamily sector. It is committed to providing the highest quality product and service by building, owning and managing every step along the way. 

Chasen Companies' real estate business model is focused on purchasing Class C assets in historic areas and upgrading them to Class A. Each living and workspace is intentionally designed to provide a boutique setting, with moderate rents, commercial space, and outsourced amenities--all while maintaining the historic heritage of the property. 

Led by Founder and CEO, Brandon M. Chasen, Sr., Chasen Companies continues to evolve. As growth opportunities are identified, a clear, consistent process is followed to determine the company's path forward. This approach has led Chasen Companies to become even more multi-faceted over the last year, diversifying its investment strategy into yacht charters--a global industry that is expected to reach $17.19 billion by 2026."
Fastest-Growing Private Companies,11/5/2021 0:00,4,,Average percent change,126.5892332,Employers and Who's Who,Sales Boomerang,10461 Mill Run Circle #950,Owings Mills,Maryland,21117,39.4067883,-76.7943304,,34,# employees,2022,1/25/2022,5749667,Revenue,2021,1/25/2022,"Sales Boomerang is a borrower intelligence platform that tells banks, credit unions and independent mortgage companies when anyone in their database is ready for a loan."
Fastest-Growing Private Companies,11/5/2021 0:00,4,,Average percent change,126.5892332,Employers and Who's Who,Sales Boomerang,10461 Mill Run Circle #950,Owings Mills,Maryland,21117,39.4067883,-76.7943304,,34,# employees,2022,1/25/2022,5749667,Revenue,2021,1/25/2022,"Sales Boomerang is a borrower intelligence platform that tells banks, credit unions and independent mortgage companies when anyone in their database is ready for a loan."
Fastest-Growing Private Companies,11/5/2021 0:00,4,,Average percent change,126.5892332,Employers and Who's Who,Sales Boomerang,10461 Mill Run Circle #950,Owings Mills,Maryland,21117,39.4067883,-76.7943304,,34,# employees,2022,1/25/2022,5749667,Revenue,2021,1/25/2022,"Sales Boomerang is a borrower intelligence platform that tells banks, credit unions and independent mortgage companies when anyone in their database is ready for a loan."
Fastest-Growing Private Companies,11/5/2021 0:00,4,,Average percent change,126.5892332,Employers and Who's Who,Sales Boomerang,10461 Mill Run Circle #950,Owings Mills,Maryland,21117,39.4067883,-76.7943304,,34,# employees,2022,1/25/2022,5749667,Revenue,2021,1/25/2022,"Sales Boomerang is a borrower intelligence platform that tells banks, credit unions and independent mortgage companies when anyone in their database is ready for a loan."
Fastest-Growing Private Companies,11/5/2021 0:00,5,,Average percent change,110.763331,Employers and Who's Who,PositivePsyche.Biz Corp,World Trade Center,Baltimore,Maryland,21202,39.2860703,-76.6097194,,100,# employees,2022,1/25/2022,3044407,Revenue,2021,6/6/2022,"Supporting Federal programs of the Department of Veteran Affairs, Commerce and Education."
Fastest-Growing Private Companies,11/5/2021 0:00,5,,Average percent change,110.763331,Employers and Who's Who,PositivePsyche.Biz Corp,World Trade Center,Baltimore,Maryland,21202,39.2860703,-76.6097194,,100,# employees,2022,1/25/2022,3044407,Revenue,2021,6/6/2022,"Supporting Federal programs of the Department of Veteran Affairs, Commerce and Education."
Fastest-Growing Private Companies,11/5/2021 0:00,5,,Average percent change,110.763331,Employers and Who's Who,PositivePsyche.Biz Corp,World Trade Center,Baltimore,Maryland,21202,39.2860703,-76.6097194,,100,# employees,2022,1/25/2022,3044407,Revenue,2021,6/6/2022,"Supporting Federal programs of the Department of Veteran Affairs, Commerce and Education."
Fastest-Growing Private Companies,11/5/2021 0:00,5,,Average percent change,110.763331,Employers and Who's Who,PositivePsyche.Biz Corp,World Trade Center,Baltimore,Maryland,21202,39.2860703,-76.6097194,,100,# employees,2022,1/25/2022,3044407,Revenue,2021,6/6/2022,"Supporting Federal programs of the Department of Veteran Affairs, Commerce and Education."
Fastest-Growing Private Companies,11/5/2021 0:00,6,9,Average percent change,110.0732601,Employers and Who's Who,Sealing Technologies Inc.,7134 Columbia Gateway Drive,Columbia,Maryland,21046,39.1764492,-76.8057769,,97,# employees,2022,1/25/2022,32800000,Revenue,2021,1/25/2022,"Sealing Technologies provides cyber products and services to the Department of Defense and their mission partners. Products include customized fly-away defensive cyber kits and secure Android mobile solutions. Services include Systems Engineering, Network Engineering, and Cross Domain Solutions."
Fastest-Growing Private Companies,11/5/2021 0:00,6,9,Average percent change,110.0732601,Employers and Who's Who,Sealing Technologies Inc.,7134 Columbia Gateway Drive,Columbia,Maryland,21046,39.1764492,-76.8057769,,97,# employees,2022,1/25/2022,32800000,Revenue,2021,1/25/2022,"Sealing Technologies provides cyber products and services to the Department of Defense and their mission partners. Products include customized fly-away defensive cyber kits and secure Android mobile solutions. Services include Systems Engineering, Network Engineering, and Cross Domain Solutions."
Fastest-Growing Private Companies,11/5/2021 0:00,7,,Average percent change,105.1848018,Employers and Who's Who,"Institute for HEALing, LLC",9419 Common Brook Road Suite 208,Owings Mills,Maryland,21117,39.3992263,-76.8001893,,26,# employees,2022-Q2,6/20/2022,1904893,"Revenue, Companywide",2021,5/23/2022,"The Institute for HEALing, LLC (iHEAL) is a wellness agency dedicated to holistic health and growth. Based in Owings Mills and nationally accredited by the Accreditation Commission for Healthcare (ACHC), we treat individuals from a diversity of ages, races/ethnicities, genders, sexual orientations, religions, classes, nationalities, and abilities. iHEAL houses four state-licensed programs including an outpatient mental health center (OMHC), mobile treatment service (MTS), partial rehabilitation program for adults (PRP-A), and alcohol education program. Through these programs we offer individual, group, couples, and family therapy; medication management; addiction counseling; medical marijuana card; and weight management services."
Fastest-Growing Private Companies,11/5/2021 0:00,8,,Average percent change,100.9180481,Employers and Who's Who,Slick Technologies LLC,87 Dover Road NE,Glen Burnie,Maryland,21060,39.1857688,-76.6070146,,51,# employees,2022,1/25/2022,3500000,Revenue,2021,1/25/2022,Slick is a technology company providing managed services for local and national fleets.
Fastest-Growing Private Companies,11/5/2021 0:00,9,,Average percent change,92.60441657,Employers and Who's Who,Tegeler Construction & Supply,1900 Finishing Mill Rd.,Sparrows Point,Maryland,21219,39.2999974,-76.5446888,,6,# employees,2020-Q2,5/6/2020,21284822,"Revenue, Companywide",2021,6/29/2022,Building material supplier
Fastest-Growing Private Companies,11/5/2021 0:00,10,8,Average percent change,91.29982024,Employers and Who's Who,Hunt A Killer,921 E. Fort Ave.,Baltimore,Maryland,21230-5134,39.2710415,-76.6006199,,105,# employees,2022,1/25/2022,27324043,Revenue,2020,4/14/2022,"Since 2016, Hunt A Killer has disrupted conventional forms of storytelling by delivering physical items, documents, and puzzles to tell immersive stories that bring people together. What started as an in-person event has now grown to a thriving entertainment company. Hunt A Killer strives to create meaningful experiences that are unbound by traditional mediums or genres and redefine how stories are told. Find out if you have what it takes at huntakiller.com."
Fastest-Growing Private Companies,11/5/2021 0:00,10,8,Average percent change,91.29982024,Employers and Who's Who,Hunt A Killer,921 E. Fort Ave.,Baltimore,Maryland,21230-5134,39.2710415,-76.6006199,,105,# employees,2022,1/25/2022,27324043,Revenue,2020,4/14/2022,"Since 2016, Hunt A Killer has disrupted conventional forms of storytelling by delivering physical items, documents, and puzzles to tell immersive stories that bring people together. What started as an in-person event has now grown to a thriving entertainment company. Hunt A Killer strives to create meaningful experiences that are unbound by traditional mediums or genres and redefine how stories are told. Find out if you have what it takes at huntakiller.com."
Fastest-Growing Private Companies,11/5/2021 0:00,11,10,Average percent change,72.00194347,Employers and Who's Who,Fearless,8 Market Place,Baltimore,Maryland,21202,39.2888915,-76.6069962,2009,214,# employees,2022-Q2,7/6/2022,48000000,"Revenue, Companywide",2021,6/1/2022,"Fearless is a full stack digital services firm in Baltimore that delivers sleek, modern, and user-friendly software designed to push the boundaries of possibility. It's our mission to build software with a soul - tools that empower communities and make a difference - so we can create a world where good software powers the things that matter."
Fastest-Growing Private Companies,11/5/2021 0:00,11,10,Average percent change,72.00194347,Employers and Who's Who,Fearless,8 Market Place,Baltimore,Maryland,21202,39.2888915,-76.6069962,2009,214,# employees,2022-Q2,7/6/2022,48000000,"Revenue, Companywide",2021,6/1/2022,"Fearless is a full stack digital services firm in Baltimore that delivers sleek, modern, and user-friendly software designed to push the boundaries of possibility. It's our mission to build software with a soul - tools that empower communities and make a difference - so we can create a world where good software powers the things that matter."
Fastest-Growing Private Companies,11/5/2021 0:00,11,10,Average percent change,72.00194347,Employers and Who's Who,Fearless,8 Market Place,Baltimore,Maryland,21202,39.2888915,-76.6069962,2009,214,# employees,2022-Q2,7/6/2022,48000000,"Revenue, Companywide",2021,6/1/2022,"Fearless is a full stack digital services firm in Baltimore that delivers sleek, modern, and user-friendly software designed to push the boundaries of possibility. It's our mission to build software with a soul - tools that empower communities and make a difference - so we can create a world where good software powers the things that matter."
Fastest-Growing Private Companies,11/5/2021 0:00,12,,Average percent change,70.69984696,Employers and Who's Who,Next Rev Technologies LLC,1622 Carnoustie Road,Davidsonville,Maryland,21035,38.925525,-76.6748495,,40,# employees,2022,1/25/2022,6960890.84,Revenue,2021,1/25/2022,"Next Rev Technologies' mission is to build a coalition of highly skilled technologists who are great at what they do, make a difference where they work, and have a passion for innovation. This coalition solves difficult problems, serves as leaders in niche technology arenas, and delivers quality solutions for customers in the government and commercial marketplaces."
Fastest-Growing Private Companies,11/5/2021 0:00,12,,Average percent change,70.69984696,Employers and Who's Who,Next Rev Technologies LLC,1622 Carnoustie Road,Davidsonville,Maryland,21035,38.925525,-76.6748495,,40,# employees,2022,1/25/2022,6960890.84,Revenue,2021,1/25/2022,"Next Rev Technologies' mission is to build a coalition of highly skilled technologists who are great at what they do, make a difference where they work, and have a passion for innovation. This coalition solves difficult problems, serves as leaders in niche technology arenas, and delivers quality solutions for customers in the government and commercial marketplaces."
Fastest-Growing Private Companies,11/5/2021 0:00,13,,Average percent change,65.25938851,Employers and Who's Who,BayVanguard Bank,7114 North Point Rd.,Baltimore,Maryland,21219,39.241075,-76.4459229,,107,# employees,2022,8/12/2022,31750000,"Revenue, Companywide",2021,8/12/2022,"BayVanguard Bank operates 16 branch locations throughout Maryland, employs a staff of 107, and offers deposit and loan products and services."
Fastest-Growing Private Companies,11/5/2021 0:00,13,,Average percent change,65.25938851,Employers and Who's Who,BayVanguard Bank,7114 North Point Rd.,Baltimore,Maryland,21219,39.241075,-76.4459229,,107,# employees,2022,8/12/2022,31750000,"Revenue, Companywide",2021,8/12/2022,"BayVanguard Bank operates 16 branch locations throughout Maryland, employs a staff of 107, and offers deposit and loan products and services."
Fastest-Growing Private Companies,11/5/2021 0:00,14,,Average percent change,64.15501368,Employers and Who's Who,Leap,8820 Columbia 100 Parkway,Columbia,Maryland,21045,39.2306043,-76.8130538,,105,# employees,2022-Q2,6/1/2022,7713736,"Revenue, Companywide",2021,6/1/2022,"Leap is a subscription-based software that home service contractors use to digitize their business. Used by thousands of top home improvement professionals, Leap eliminates redundancies and errors that slow down the typical sales process, bringing efficiency and transparency to the home improvement purchasing experience."
Fastest-Growing Private Companies,11/5/2021 0:00,15,1,Average percent change,62.23599005,Employers and Who's Who,"Four Twelve Development, LLC",10 E North Ave Ste 5,Baltimore,Maryland,21202,39.3117079,-76.6155717,,35,# employees,2022,1/25/2022,5000000,Revenue,2021,1/25/2022,"Four Twelve Roofing is a local roofing and remodeling company based out of Baltimore City. Specializing in residential and commercial roofing projects throughout Greater Baltimore, Four Twelve's goal is to Make Roofing Easier."
Fastest-Growing Private Companies,11/5/2021 0:00,15,1,Average percent change,62.23599005,Employers and Who's Who,"Four Twelve Development, LLC",10 E North Ave Ste 5,Baltimore,Maryland,21202,39.3117079,-76.6155717,,35,# employees,2022,1/25/2022,5000000,Revenue,2021,1/25/2022,"Four Twelve Roofing is a local roofing and remodeling company based out of Baltimore City. Specializing in residential and commercial roofing projects throughout Greater Baltimore, Four Twelve's goal is to Make Roofing Easier."
Fastest-Growing Private Companies,11/5/2021 0:00,16,,Average percent change,62.17893218,Employers and Who's Who,Think Systems Inc.,8 Market Place,Baltimore,Maryland,21202,39.2895403,-76.6072133,,103,# employees,2022,6/29/2022,12000000,Revenue,2021,4/14/2022,"Founded in 2004, Think is a national technology and operations management consulting practice, providing services to both the private and public sectors. Think's offering spans services from technology and operations advisory and strategic development, technology and operations transformation, post-merger integration, venture and PE shared services support for portfolio companies, and strategic hiring support services for c-level and upper-level technical and operations management. To learn more, visit us at thinkconsulting.com."
Fastest-Growing Private Companies,11/5/2021 0:00,16,,Average percent change,62.17893218,Employers and Who's Who,Think Systems Inc.,8 Market Place,Baltimore,Maryland,21202,39.2895403,-76.6072133,,103,# employees,2022,6/29/2022,12000000,Revenue,2021,4/14/2022,"Founded in 2004, Think is a national technology and operations management consulting practice, providing services to both the private and public sectors. Think's offering spans services from technology and operations advisory and strategic development, technology and operations transformation, post-merger integration, venture and PE shared services support for portfolio companies, and strategic hiring support services for c-level and upper-level technical and operations management. To learn more, visit us at thinkconsulting.com."
