Contact ID,List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Title,Business Description
346783,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,1,,Revenue growth 2020-2021,458.2948718,Employers and Who's Who,Urban Pirates,110 Sweetser Road,Linthicum,Maryland,21090,39.2067535,-76.6551913,2008,1,"# Employees, Full Time",2022-Q3,3/24/2022,435470,"Revenue, Companywide",2021,8/9/2022,CEO,Interactive Pirate Adventure sailing out of Fells Point in Baltimore.
336457,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,2,,Revenue growth 2020-2021,150,Employers and Who's Who,Roeder Travel Ltd. & Kailua Properties,57 W. Timonium Road,Timonium,Maryland,21093,39.4387233,-76.6302148,1973,54,# employees,2022-Q2,6/1/2022,1000000,"Revenue, Companywide",2021,6/1/2022,Founder/President,Travel Agency/Real Estate
807137,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,3,,Revenue growth 2020-2021,131.9148936,Employers and Who's Who,Shapiro,1215 E. Fort Ave.,Baltimore,Maryland,21230,39.268918,-76.597726,1915,156,# employees,2022-Q2,7/8/2022,327000000,"Revenue, Companywide",2021,7/8/2022,President/CEO,"Shapiro is proud to be a 106-year-old, Baltimore-based Customhouse broker and freight forwarder."
807157,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,3,,Revenue growth 2020-2021,131.9148936,Employers and Who's Who,Shapiro,1215 E. Fort Ave.,Baltimore,Maryland,21230,39.268918,-76.597726,1915,156,# employees,2022-Q2,7/8/2022,327000000,"Revenue, Companywide",2021,7/8/2022,Marketing Supervisor,"Shapiro is proud to be a 106-year-old, Baltimore-based Customhouse broker and freight forwarder."
350715,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,4,,Revenue growth 2020-2021,117.308172,Employers and Who's Who,Media Star Promotions,318 Clubhouse Road,Hunt Valley,Maryland,21031,39.4848052,-76.6631997,1982,1043,# employees,2022-Q2,6/23/2022,54327043,"Revenue, Companywide",2021,6/23/2022,Creative Director,"Media Star Promotions is a WBENC-certified national experiential marketing agency. Founded by Carin Lazarus in 1987, MSP guides clients in brand strategy, demonstrating creative messaging and programming for organizations. We specialize in regulated products where careful consideration must be taken to ensure compliance on behalf of these brands. This balance between creative ingenuity to inspire advocacy and remaining well within regulatory guidelines continues to drive the momentum of our success. Our work with brands and organizations is focused on shifting perceptions in challenging environments and building advocacy among audiences that are difficult to sway. Since inception, MSP has delivered over 35 Million memorable, 1:1 consumer experiences around the world."
2761276,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,4,,Revenue growth 2020-2021,117.308172,Employers and Who's Who,Media Star Promotions,318 Clubhouse Road,Hunt Valley,Maryland,21031,39.4848052,-76.6631997,1982,1043,# employees,2022-Q2,6/23/2022,54327043,"Revenue, Companywide",2021,6/23/2022,President,"Media Star Promotions is a WBENC-certified national experiential marketing agency. Founded by Carin Lazarus in 1987, MSP guides clients in brand strategy, demonstrating creative messaging and programming for organizations. We specialize in regulated products where careful consideration must be taken to ensure compliance on behalf of these brands. This balance between creative ingenuity to inspire advocacy and remaining well within regulatory guidelines continues to drive the momentum of our success. Our work with brands and organizations is focused on shifting perceptions in challenging environments and building advocacy among audiences that are difficult to sway. Since inception, MSP has delivered over 35 Million memorable, 1:1 consumer experiences around the world."
2824537,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,4,,Revenue growth 2020-2021,117.308172,Employers and Who's Who,Media Star Promotions,318 Clubhouse Road,Hunt Valley,Maryland,21031,39.4848052,-76.6631997,1982,1043,# employees,2022-Q2,6/23/2022,54327043,"Revenue, Companywide",2021,6/23/2022,Chief Marketing Officer,"Media Star Promotions is a WBENC-certified national experiential marketing agency. Founded by Carin Lazarus in 1987, MSP guides clients in brand strategy, demonstrating creative messaging and programming for organizations. We specialize in regulated products where careful consideration must be taken to ensure compliance on behalf of these brands. This balance between creative ingenuity to inspire advocacy and remaining well within regulatory guidelines continues to drive the momentum of our success. Our work with brands and organizations is focused on shifting perceptions in challenging environments and building advocacy among audiences that are difficult to sway. Since inception, MSP has delivered over 35 Million memorable, 1:1 consumer experiences around the world."
349310,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,5,,Revenue growth 2020-2021,100,Employers and Who's Who,Spin LLC,3000 Falls Road,Baltimore,Maryland,21211,39.3230341,-76.6305008,,6,# employees,2022-Q2,6/21/2022,1000000,"Revenue, Companywide",2021,6/21/2022,Owner/Principal,"SPIN, an acronym for Strategy, Public Relations, Image, and New Business Development is a full-service woman-owned public relations and marketing consulting firm. 
 
Backed by nearly 30 years of experience providing marketing and public relations services, SPIN’s owner/principal, Pauline Harris, directs the firm’s unique and creative approach. SPIN has represented a significant number of organizations seeking a presence locally, regionally and nationally. 
 
Specialty services include: 
 
• Strategic Planning 
• Media relations
• Public forums and speaking engagements 
• Advertising (print, radio, and television) 
• Direct mail campaigns 
• Presentation training 
• Event planning and management 
• Tradeshow implementation and support 
• Corporate identity 
• Website design
• Social Media strategic planning"
343820,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,6,,Revenue growth 2020-2021,78.98529761,Employers and Who's Who,Turf Valley Resort,2700 Turf Valley Road,Ellicott City,Maryland,21042,39.29533,-76.88414,1978,250,# employees,2022,2/17/2022,15071525,"Revenue, Companywide",2021,4/26/2022,Marketing Director,"Let our relaxing resort inspire your team with 40,000 square feet of inviting meeting venues, sweeping golf course views and a tranquil setting. As the only resort-style conference and convention center between Baltimore and Washington, DC, Turf Valley is an outstanding destination for groups seeking an escape from the urban bustle. Our Maryland resort and conference center provides 25 flexible venues, full-service catering, and an expert team that is dedicated to creating successful events. With plush accommodations, fun activities, a spa, dining and a beautiful location, Turf Valley Resort is a remarkable destination for team building retreats, stimulating conferences and dynamic Baltimore-Washington, DC area meetings."
345198,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,6,,Revenue growth 2020-2021,78.98529761,Employers and Who's Who,Turf Valley Resort,2700 Turf Valley Road,Ellicott City,Maryland,21042,39.29533,-76.88414,1978,250,# employees,2022,2/17/2022,15071525,"Revenue, Companywide",2021,4/26/2022,,"Let our relaxing resort inspire your team with 40,000 square feet of inviting meeting venues, sweeping golf course views and a tranquil setting. As the only resort-style conference and convention center between Baltimore and Washington, DC, Turf Valley is an outstanding destination for groups seeking an escape from the urban bustle. Our Maryland resort and conference center provides 25 flexible venues, full-service catering, and an expert team that is dedicated to creating successful events. With plush accommodations, fun activities, a spa, dining and a beautiful location, Turf Valley Resort is a remarkable destination for team building retreats, stimulating conferences and dynamic Baltimore-Washington, DC area meetings."
346691,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,6,,Revenue growth 2020-2021,78.98529761,Employers and Who's Who,Turf Valley Resort,2700 Turf Valley Road,Ellicott City,Maryland,21042,39.29533,-76.88414,1978,250,# employees,2022,2/17/2022,15071525,"Revenue, Companywide",2021,4/26/2022,Owner,"Let our relaxing resort inspire your team with 40,000 square feet of inviting meeting venues, sweeping golf course views and a tranquil setting. As the only resort-style conference and convention center between Baltimore and Washington, DC, Turf Valley is an outstanding destination for groups seeking an escape from the urban bustle. Our Maryland resort and conference center provides 25 flexible venues, full-service catering, and an expert team that is dedicated to creating successful events. With plush accommodations, fun activities, a spa, dining and a beautiful location, Turf Valley Resort is a remarkable destination for team building retreats, stimulating conferences and dynamic Baltimore-Washington, DC area meetings."
348889,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,6,,Revenue growth 2020-2021,78.98529761,Employers and Who's Who,Turf Valley Resort,2700 Turf Valley Road,Ellicott City,Maryland,21042,39.29533,-76.88414,1978,250,# employees,2022,2/17/2022,15071525,"Revenue, Companywide",2021,4/26/2022,Director of Human Resources,"Let our relaxing resort inspire your team with 40,000 square feet of inviting meeting venues, sweeping golf course views and a tranquil setting. As the only resort-style conference and convention center between Baltimore and Washington, DC, Turf Valley is an outstanding destination for groups seeking an escape from the urban bustle. Our Maryland resort and conference center provides 25 flexible venues, full-service catering, and an expert team that is dedicated to creating successful events. With plush accommodations, fun activities, a spa, dining and a beautiful location, Turf Valley Resort is a remarkable destination for team building retreats, stimulating conferences and dynamic Baltimore-Washington, DC area meetings."
925619,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,7,,Revenue growth 2020-2021,78.09585636,Employers and Who's Who,Unified Efforts Inc.,200 Cross Keys Road,Baltimore,Maryland,21210,39.3594271,-76.6483383,,10,# employees,2022-Q2,6/20/2022,337440,"Revenue, Companywide",2021,6/20/2022,President,"Founder and Executive Director, Deborah B. Ramsey and former Baltimore Police Department Detective developed UniFIED Efforts, Inc., a nonprofit 501 (c)(3) organization that provides a no-cost to parents quality and substantial out-of-school time program that assists school-aged children with academic support and programs that includes crime reduction, peaceable solutions and pathways to grow up to be productive citizens. Located in West Baltimore's Penn-North community."
2822689,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,7,,Revenue growth 2020-2021,78.09585636,Employers and Who's Who,Unified Efforts Inc.,200 Cross Keys Road,Baltimore,Maryland,21210,39.3594271,-76.6483383,,10,# employees,2022-Q2,6/20/2022,337440,"Revenue, Companywide",2021,6/20/2022,Esquire,"Founder and Executive Director, Deborah B. Ramsey and former Baltimore Police Department Detective developed UniFIED Efforts, Inc., a nonprofit 501 (c)(3) organization that provides a no-cost to parents quality and substantial out-of-school time program that assists school-aged children with academic support and programs that includes crime reduction, peaceable solutions and pathways to grow up to be productive citizens. Located in West Baltimore's Penn-North community."
1916698,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,8,,Revenue growth 2020-2021,66.66666667,Employers and Who's Who,MFG Toffee & Bark Co.,P.O. Box 23667,Baltimore,Maryland,21203,39.2899901,-76.6099878,2021,4,# employees,2022-Q2,6/29/2022,30000,Revenue,2021,6/29/2022,Owner,"Hand crafted, small batch Globally inspired toffees and barks."
2713307,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,8,,Revenue growth 2020-2021,66.66666667,Employers and Who's Who,MFG Toffee & Bark Co.,P.O. Box 23667,Baltimore,Maryland,21203,39.2899901,-76.6099878,2021,4,# employees,2022-Q2,6/29/2022,30000,Revenue,2021,6/29/2022,Owner,"Hand crafted, small batch Globally inspired toffees and barks."
349865,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,9,,Revenue growth 2020-2021,60,Employers and Who's Who,Nelson Coleman Jewelers,307 E. Joppa Road,Towson,Maryland,21286,39.4017077,-76.5975158,1856,20,# employees,2022-Q2,6/21/2022,8000000,"Revenue, Companywide",2021,6/21/2022,Owner,Nelson Coleman Jewelers offers a top notch customer service experience and focuses on 8 main areas of expertise.  1. Bridal 2. Loose diamond sales 3. Estate and Vintage jewelry 4. Fashion Jewelry 5. Repair/Appraisal Services 6. Gold/Silver/Diamond/Gemstone etc. purchasing from public 7. Ecommerce 8. Charity support and philanthropy
335086,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,10,,Revenue growth 2020-2021,52.62771681,Employers and Who's Who,AdNet/AccountNet Inc.,1800 Washington Blvd.,Baltimore,Maryland,21230,39.2762319,-76.6440684,1998,188,# employees,2022,6/21/2022,4311733,"Revenue, Companywide",2021,6/21/2022,CEO,"Management Consulting - staff augmentation, executive search, training/development"
344697,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,11,,Revenue growth 2020-2021,50,Employers and Who's Who,Transforming Architecture LLC,7612 Browns Bridge Road,Highland,Maryland,20777,39.159882,-76.947746,2008,15,# employees,2022-Q2,6/22/2022,780000,"Revenue, Companywide",2021,7/11/2022,President,Residential Architectural Services
1340222,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,11,,Revenue growth 2020-2021,50,Employers and Who's Who,Transforming Architecture LLC,7612 Browns Bridge Road,Highland,Maryland,20777,39.159882,-76.947746,2008,15,# employees,2022-Q2,6/22/2022,780000,"Revenue, Companywide",2021,7/11/2022,President,Residential Architectural Services
2734316,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,12,,Revenue growth 2020-2021,41.04540283,Employers and Who's Who,Timber Industries LLC,10884 York Road,Cockeysville,Maryland,21030,39.4836296,-76.6450842,,6,# employees,2022-Q2,6/29/2022,4205503.25,"Revenue, Companywide",2021,6/29/2022,"Owner, President and CEO","Timber Industries is a MD based, 100% certified WBE company. Timber operates two separate divisions, supply and install.  Our supply side focus's mainly on lumber related products including custom wood pallets, plastic pallets, dimensional lumber, custom wood crane mats and service clients nationally. Our Division 6 side provides finish carpentry/millwork furnish and install, both in commercial and residential. We are MBE certified by the Maryland Department of Transportation (MDOT), MBE certified by the District of Columbia (DC) Department of Transportation (DDOT), WBE and WOSB certified through the Women's Business Enterprise National Council (WBENC), WBE certified by the City of Baltimore and Woman Owned Small Business certified."
1994323,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,13,,Revenue growth 2020-2021,36.84210526,Employers and Who's Who,EHS Maryland LLC,2100 Merritt Ave,Baltimore,Maryland,21222,39.260894,-76.511126,,20,# employees,2022,6/20/2022,2600000,"Revenue, Companywide",2021,6/20/2022,,"We are a local general contractor that does large residential, commercial, and government contract construction."
2336983,Fastest-Growing Woman-Owned Businesses,8/4/2022 0:00,13,,Revenue growth 2020-2021,36.84210526,Employers and Who's Who,EHS Maryland LLC,2100 Merritt Ave,Baltimore,Maryland,21222,39.260894,-76.511126,,20,# employees,2022,6/20/2022,2600000,"Revenue, Companywide",2021,6/20/2022,Owner,"We are a local general contractor that does large residential, commercial, and government contract construction."
