List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Incubators and Accelerators,10/15/2021 0:00,1,3,Membership,175,Computers and Technology,Impact Hub Baltimore,10 E. North Ave.,Baltimore,Maryland,21202,39.3117087,-76.6155478,,6,# employees,2021,10/6/2021,,,,,social enterprise; nonprofit; government; education; health and wellness; social justice; economic development; arts; city planning; sustainability
Incubators and Accelerators,10/15/2021 0:00,1,3,Membership,175,Computers and Technology,Impact Hub Baltimore,10 E. North Ave.,Baltimore,Maryland,21202,39.3117087,-76.6155478,,6,# employees,2021,10/6/2021,,,,,social enterprise; nonprofit; government; education; health and wellness; social justice; economic development; arts; city planning; sustainability
Incubators and Accelerators,10/15/2021 0:00,2,1,Membership,173,Computers and Technology,FastForward @ Johns Hopkins,1812 Ashland Ave.,Baltimore,Maryland,21205,39.3007369,-76.5919116,,6,# employees,2021,10/5/2021,,,,,FastForward is a coordinated suite of resources designed to efficiently move Johns Hopkins technologies from startup to marketplace that currently supports more than 100 startups.
Incubators and Accelerators,10/15/2021 0:00,2,1,Membership,173,Computers and Technology,FastForward @ Johns Hopkins,1812 Ashland Ave.,Baltimore,Maryland,21205,39.3007369,-76.5919116,,6,# employees,2021,10/5/2021,,,,,FastForward is a coordinated suite of resources designed to efficiently move Johns Hopkins technologies from startup to marketplace that currently supports more than 100 startups.
Incubators and Accelerators,10/15/2021 0:00,3,2,Membership,130,Computers and Technology,bwtech@UMBC,5520 Research Park Drive,Baltimore,Maryland,21228,39.248699,-76.714539,,1890,# employees,2020,9/30/2020,,,,,"bwtech@UMBC is an innovative research park that provides technology commercialization services and physical space to start-up and early-stage growth companies across a wide range of industries including, cybersecurity, data science, engineering, health IT, and life sciences. Open since 1989, bwtech is home to over 130 companies who employ over 1,900 employees."
Incubators and Accelerators,10/15/2021 0:00,4,7,Membership,101,Computers and Technology,ETC (Emerging Technology Centers),101 N. Haven St.,Baltimore,Maryland,21224,39.294258,-76.562897,1999,3,# employees,2021,10/6/2021,621504,Revenue,2020,10/6/2021,advanced/emerging technology
Incubators and Accelerators,10/15/2021 0:00,5,5,Membership,77,Computers and Technology,Frederick Innovative Technology Center Inc. (FITCI),4539 Metropolitan Court,Frederick,Maryland,21704,39.3576961,-77.4138267,,70,# employees,2021,10/4/2021,1200000,Revenue,2020,10/4/2021,biotechnology; IT; renewable energy
Incubators and Accelerators,10/15/2021 0:00,6,6,Membership,66,Computers and Technology,Bowie Business Innovation Center (Bowie BIC),14000 Jericho Park Road,Bowie,Maryland,20715,39.0181217,-76.7597271,,522,# employees,2021,10/7/2021,74,Revenue,2020,10/7/2021,"cybersecurity; information technology; health technology; financial services, professional services"
Incubators and Accelerators,10/15/2021 0:00,6,6,Membership,66,Computers and Technology,Bowie Business Innovation Center (Bowie BIC),14000 Jericho Park Road,Bowie,Maryland,20715,39.0181217,-76.7597271,,522,# employees,2021,10/7/2021,74,Revenue,2020,10/7/2021,"cybersecurity; information technology; health technology; financial services, professional services"
Incubators and Accelerators,10/15/2021 0:00,7,8,Membership,45,Computers and Technology,Anne Arundel Community College Hatchery,101 College Parkway,Arnold,Maryland,21012,0,0,,,,,,,,,,social media/web design; bookkeeping; retail; coaching;  photography/video; hospitality; interior design; massage therapy; fashion; drones
