List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,1,2,2021 budget,19855863,Travel and Tourism,Baltimore Museum of Art,10 Art Museum Drive,Baltimore,Maryland,21218,39.325755,-76.61944,1914,167,"# Employees, Full Time",2022-Q3,4/13/2022,16649333,Revenue,2019,10/20/2020,Edgar Allan Poe: A Baltimore Icon; Matisse as Printmaker; Cezanne and American Modernism
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,1,2,2021 budget,19855863,Travel and Tourism,Baltimore Museum of Art,10 Art Museum Drive,Baltimore,Maryland,21218,39.325755,-76.61944,1914,167,"# Employees, Full Time",2022-Q3,4/13/2022,16649333,Revenue,2019,10/20/2020,Edgar Allan Poe: A Baltimore Icon; Matisse as Printmaker; Cezanne and American Modernism
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,1,2,2021 budget,19855863,Travel and Tourism,Baltimore Museum of Art,10 Art Museum Drive,Baltimore,Maryland,21218,39.325755,-76.61944,1914,167,"# Employees, Full Time",2022-Q3,4/13/2022,16649333,Revenue,2019,10/20/2020,Edgar Allan Poe: A Baltimore Icon; Matisse as Printmaker; Cezanne and American Modernism
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,2,1,2021 budget,18600000,Travel and Tourism,Baltimore Symphony Orchestra,1212 Cathedral Street,Baltimore,Maryland,21201,39.3039828,-76.6189778,1916,140,"# Employees, Full Time",2022-Q3,4/29/2022,32000000,Revenue,2020,9/20/2021,"For over a century, the Baltimore Symphony Orchestra (BSO) has been recognized as one of America’s leading orchestras and one of Maryland’s most significant cultural institutions. The orchestra is internationally renowned and locally admired for its innovation, performances, recordings, and educational outreach initiatives including OrchKids."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,3,3,2021 budget,13962599,Travel and Tourism,Walters Art Museum,600 N. Charles St.,Baltimore,Maryland,21201,39.2965173,-76.6164504,1934,108,"# Employees, Full Time",2022-Q3,3/30/2022,13120217,Revenue,2021,2/24/2022,"The Walters Art Museum is a cultural hub in the heart of Baltimore, located in the city’s Mount Vernon neighborhood. The museum’s collection spans more than seven millennia, from 5000 BCE to the 21st century, and encompasses 36,000 objects from around the world. Walking through the museum’s historic buildings, visitors encounter a stunning panorama of thousands of years of art, from romantic 19th-century images of French gardens to mesmerizing Ethiopian icons, richly illuminated Qur’ans and Gospel books, ancient Roman sarcophagi, and serene images of the Buddha. Since its founding, the Walters’ mission has been to bring art and people together to create a place where people of every background can be touched by art. As part of this commitment, admission to the museum and special exhibitions is always free."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,3,3,2021 budget,13962599,Travel and Tourism,Walters Art Museum,600 N. Charles St.,Baltimore,Maryland,21201,39.2965173,-76.6164504,1934,108,"# Employees, Full Time",2022-Q3,3/30/2022,13120217,Revenue,2021,2/24/2022,"The Walters Art Museum is a cultural hub in the heart of Baltimore, located in the city’s Mount Vernon neighborhood. The museum’s collection spans more than seven millennia, from 5000 BCE to the 21st century, and encompasses 36,000 objects from around the world. Walking through the museum’s historic buildings, visitors encounter a stunning panorama of thousands of years of art, from romantic 19th-century images of French gardens to mesmerizing Ethiopian icons, richly illuminated Qur’ans and Gospel books, ancient Roman sarcophagi, and serene images of the Buddha. Since its founding, the Walters’ mission has been to bring art and people together to create a place where people of every background can be touched by art. As part of this commitment, admission to the museum and special exhibitions is always free."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,3,3,2021 budget,13962599,Travel and Tourism,Walters Art Museum,600 N. Charles St.,Baltimore,Maryland,21201,39.2965173,-76.6164504,1934,108,"# Employees, Full Time",2022-Q3,3/30/2022,13120217,Revenue,2021,2/24/2022,"The Walters Art Museum is a cultural hub in the heart of Baltimore, located in the city’s Mount Vernon neighborhood. The museum’s collection spans more than seven millennia, from 5000 BCE to the 21st century, and encompasses 36,000 objects from around the world. Walking through the museum’s historic buildings, visitors encounter a stunning panorama of thousands of years of art, from romantic 19th-century images of French gardens to mesmerizing Ethiopian icons, richly illuminated Qur’ans and Gospel books, ancient Roman sarcophagi, and serene images of the Buddha. Since its founding, the Walters’ mission has been to bring art and people together to create a place where people of every background can be touched by art. As part of this commitment, admission to the museum and special exhibitions is always free."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,4,11,2021 budget,9000000,Travel and Tourism,The Lyric Theatre,140 W. Mount Royal Ave.,Baltimore,Maryland,21201,39.305724,-76.618612,1894,12,"# Employees, Full Time",2022,2/24/2022,9000000,Revenue,2021,3/28/2022,"This premier live entertainment venue has a variety of multi-functional, historic spaces for meetings and events of all sizes including small gatherings, galas, and 2563-seat corporate events."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,5,9,2021 budget,6246647,Travel and Tourism,Mid Atlantic Arts,201 N. Charles St.,Baltimore,Maryland,21201,39.291321,-76.61525,1979,14,"# Employees, Full Time",2022,2/17/2022,6477345,Revenue,2021,1/25/2022,"Mid Atlantic Arts supports artists, presenters, and organizations through unique programming, grant support, partnerships, and information sharing. Created in 1979, Mid Atlantic Arts is aligned with the region’s state arts councils and the National Endowment for the Arts. We combine state and federal funding with private support from corporations, foundations, and individuals to nurture diverse artistic expression while connecting people to meaningful arts experiences within our region and beyond."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,5,9,2021 budget,6246647,Travel and Tourism,Mid Atlantic Arts,201 N. Charles St.,Baltimore,Maryland,21201,39.291321,-76.61525,1979,14,"# Employees, Full Time",2022,2/17/2022,6477345,Revenue,2021,1/25/2022,"Mid Atlantic Arts supports artists, presenters, and organizations through unique programming, grant support, partnerships, and information sharing. Created in 1979, Mid Atlantic Arts is aligned with the region’s state arts councils and the National Endowment for the Arts. We combine state and federal funding with private support from corporations, foundations, and individuals to nurture diverse artistic expression while connecting people to meaningful arts experiences within our region and beyond."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,6,10,2021 budget,4800000,Travel and Tourism,Everyman Theatre,315 W. Fayette St.,Baltimore,Maryland,21201,39.2901275,-76.6204221,1991,25,"# Employees, Full Time",2022-Q3,4/29/2022,4800000,Revenue,2021,2/25/2022,"Everyman Theatre is a professional Equity theatre company celebrating the actor, with a Resident Company of Artists from the Baltimore/DC area. Founded in 1990 by Vincent M. Lancisi, the theatre is dedicated to engaging the audience through a shared experience between actor and audience seeking connection and emotional truth in performance. Everyman is committed to presenting high-quality plays that are affordable and accessible to everyone. The theatre strives to engage, inspire and transform artists, audiences, and communities through theatre of the highest artistic standards and is committed to embodying the promise of its name, Everyman Theatre. Lancisi partners with Managing Director, Marissa LaRose in leading the organization in its 30th anniversary season. Everyman Theatre stands in solidarity with Black, Indigenous, AAPI, and People of Color communities and is committed to an equitable, diverse, and inclusive atmosphere at every level of our organization. To learn more, read the full statement of solidarity on our website at  https://everymantheatre.org/everyman-theatre-stands-solidarity."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,6,10,2021 budget,4800000,Travel and Tourism,Everyman Theatre,315 W. Fayette St.,Baltimore,Maryland,21201,39.2901275,-76.6204221,1991,25,"# Employees, Full Time",2022-Q3,4/29/2022,4800000,Revenue,2021,2/25/2022,"Everyman Theatre is a professional Equity theatre company celebrating the actor, with a Resident Company of Artists from the Baltimore/DC area. Founded in 1990 by Vincent M. Lancisi, the theatre is dedicated to engaging the audience through a shared experience between actor and audience seeking connection and emotional truth in performance. Everyman is committed to presenting high-quality plays that are affordable and accessible to everyone. The theatre strives to engage, inspire and transform artists, audiences, and communities through theatre of the highest artistic standards and is committed to embodying the promise of its name, Everyman Theatre. Lancisi partners with Managing Director, Marissa LaRose in leading the organization in its 30th anniversary season. Everyman Theatre stands in solidarity with Black, Indigenous, AAPI, and People of Color communities and is committed to an equitable, diverse, and inclusive atmosphere at every level of our organization. To learn more, read the full statement of solidarity on our website at  https://everymantheatre.org/everyman-theatre-stands-solidarity."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,6,10,2021 budget,4800000,Travel and Tourism,Everyman Theatre,315 W. Fayette St.,Baltimore,Maryland,21201,39.2901275,-76.6204221,1991,25,"# Employees, Full Time",2022-Q3,4/29/2022,4800000,Revenue,2021,2/25/2022,"Everyman Theatre is a professional Equity theatre company celebrating the actor, with a Resident Company of Artists from the Baltimore/DC area. Founded in 1990 by Vincent M. Lancisi, the theatre is dedicated to engaging the audience through a shared experience between actor and audience seeking connection and emotional truth in performance. Everyman is committed to presenting high-quality plays that are affordable and accessible to everyone. The theatre strives to engage, inspire and transform artists, audiences, and communities through theatre of the highest artistic standards and is committed to embodying the promise of its name, Everyman Theatre. Lancisi partners with Managing Director, Marissa LaRose in leading the organization in its 30th anniversary season. Everyman Theatre stands in solidarity with Black, Indigenous, AAPI, and People of Color communities and is committed to an equitable, diverse, and inclusive atmosphere at every level of our organization. To learn more, read the full statement of solidarity on our website at  https://everymantheatre.org/everyman-theatre-stands-solidarity."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,6,10,2021 budget,4800000,Travel and Tourism,Everyman Theatre,315 W. Fayette St.,Baltimore,Maryland,21201,39.2901275,-76.6204221,1991,25,"# Employees, Full Time",2022-Q3,4/29/2022,4800000,Revenue,2021,2/25/2022,"Everyman Theatre is a professional Equity theatre company celebrating the actor, with a Resident Company of Artists from the Baltimore/DC area. Founded in 1990 by Vincent M. Lancisi, the theatre is dedicated to engaging the audience through a shared experience between actor and audience seeking connection and emotional truth in performance. Everyman is committed to presenting high-quality plays that are affordable and accessible to everyone. The theatre strives to engage, inspire and transform artists, audiences, and communities through theatre of the highest artistic standards and is committed to embodying the promise of its name, Everyman Theatre. Lancisi partners with Managing Director, Marissa LaRose in leading the organization in its 30th anniversary season. Everyman Theatre stands in solidarity with Black, Indigenous, AAPI, and People of Color communities and is committed to an equitable, diverse, and inclusive atmosphere at every level of our organization. To learn more, read the full statement of solidarity on our website at  https://everymantheatre.org/everyman-theatre-stands-solidarity."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,7,15,2021 budget,3500000,Travel and Tourism,Annapolis Symphony Orchestra,801 Chase St.,Annapolis,Maryland,21401,38.972882,-76.50412,1962,8,"# Employees, Full Time",2022,2/23/2022,3600000,Revenue,2021,2/23/2022,"The mission of the Annapolis Symphony Orchestra is to inspire, educate and enrich lives near and far by creating extraordinary musical experiences with uncompromising artistic excellence."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,7,15,2021 budget,3500000,Travel and Tourism,Annapolis Symphony Orchestra,801 Chase St.,Annapolis,Maryland,21401,38.972882,-76.50412,1962,8,"# Employees, Full Time",2022,2/23/2022,3600000,Revenue,2021,2/23/2022,"The mission of the Annapolis Symphony Orchestra is to inspire, educate and enrich lives near and far by creating extraordinary musical experiences with uncompromising artistic excellence."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,8,0,2021 budget,3384351,Travel and Tourism,Reginald F. Lewis Museum of Maryland African American History & Culture,830 E. Pratt St.,Baltimore,Maryland,21202,39.2874005,-76.6037909,1999,18,"# Employees, Full Time",2022-Q3,4/29/2022,3618448,Revenue,2021,2/24/2022,"The Lewis Museum, the largest African American museum in Maryland, has been a trusted custodian, a respected authority, and a thought-partner on the history and culture of the African diaspora with an emphasis on the State of Maryland since it opened in 2005. We tell our story through our permanent collection, special exhibitions, educational programs and public events."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,9,4,2021 budget,2975000,Travel and Tourism,Hippodrome Theatre at the France-Merrick Performing Arts Center,12 N. Eutaw St.,Baltimore,Maryland,21201,39.28965,-76.620949,2004,16,"# Employees, Full Time",2022,3/2/2022,2077250,Revenue,2021,3/2/2022,"A Performing Arts Center hosting live entertainment and private events, specializing in the presentation of nationally touring Broadway, comedy, and concerts."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,9,4,2021 budget,2975000,Travel and Tourism,Hippodrome Theatre at the France-Merrick Performing Arts Center,12 N. Eutaw St.,Baltimore,Maryland,21201,39.28965,-76.620949,2004,16,"# Employees, Full Time",2022,3/2/2022,2077250,Revenue,2021,3/2/2022,"A Performing Arts Center hosting live entertainment and private events, specializing in the presentation of nationally touring Broadway, comedy, and concerts."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,9,4,2021 budget,2975000,Travel and Tourism,Hippodrome Theatre at the France-Merrick Performing Arts Center,12 N. Eutaw St.,Baltimore,Maryland,21201,39.28965,-76.620949,2004,16,"# Employees, Full Time",2022,3/2/2022,2077250,Revenue,2021,3/2/2022,"A Performing Arts Center hosting live entertainment and private events, specializing in the presentation of nationally touring Broadway, comedy, and concerts."
