List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,1,1,Number of employees in Greater Baltimore,365,Computers and Technology,CyberCore Technologies,6605 Business Parkway,Elkridge,Maryland,21075,39.1871671,-76.7682314,2000,300,# employees,2022-Q2,7/6/2022,,"Revenue, Companywide",2017,6/25/2018,"As a privately held company, CyberCore does not disclose its revenue."
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,2,3,Number of employees in Greater Baltimore,225,Computers and Technology,ZeroFox,1834 S. Charles St.,Baltimore,Maryland,21230,39.268537,-76.614429,2013,550,# employees,2021,9/3/2021,,,,,Software
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,3,2,Number of employees in Greater Baltimore,195,Computers and Technology,Vision Technologies LLC,6704 Curtis Court,Glen Burnie,Maryland,21060,39.192201,-76.5937916,2000,567,# employees,2022,6/14/2022,151000000,"Revenue, Companywide",2021,6/14/2022,"Vision Technologies, Inc., a Maryland-based network integrator, has delivered world-class converged IT
services and solutions since 2000. With 300 local employees and 570 full-time employees
nationally, the company projects growth to $130 million in 2019. In addition, Vision plans to relocate its
headquarters within Anne Arundel County, adding 100 new full-time jobs over the next five years to its
local workforce. Vision not only creates technology jobs but builds culture and careers for its people."
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,3,2,Number of employees in Greater Baltimore,195,Computers and Technology,Vision Technologies LLC,6704 Curtis Court,Glen Burnie,Maryland,21060,39.192201,-76.5937916,2000,567,# employees,2022,6/14/2022,151000000,"Revenue, Companywide",2021,6/14/2022,"Vision Technologies, Inc., a Maryland-based network integrator, has delivered world-class converged IT
services and solutions since 2000. With 300 local employees and 570 full-time employees
nationally, the company projects growth to $130 million in 2019. In addition, Vision plans to relocate its
headquarters within Anne Arundel County, adding 100 new full-time jobs over the next five years to its
local workforce. Vision not only creates technology jobs but builds culture and careers for its people."
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,4,6,Number of employees in Greater Baltimore,102,Computers and Technology,Resolute Technologies LLC,6760 Alexander Bell Drive,Columbia,Maryland,21046,39.1881766,-76.8118374,2013,102,# employees,2022,1/25/2022,23362198,Revenue,2021,1/25/2022,"Resolute Technologies provides innovation engineering solutions for the United States Department of Defense and intelligence community, concentrating on mission critical areas of cybersecurity, cloud computing and software engineering."
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,4,6,Number of employees in Greater Baltimore,102,Computers and Technology,Resolute Technologies LLC,6760 Alexander Bell Drive,Columbia,Maryland,21046,39.1881766,-76.8118374,2013,102,# employees,2022,1/25/2022,23362198,Revenue,2021,1/25/2022,"Resolute Technologies provides innovation engineering solutions for the United States Department of Defense and intelligence community, concentrating on mission critical areas of cybersecurity, cloud computing and software engineering."
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,4,6,Number of employees in Greater Baltimore,102,Computers and Technology,Resolute Technologies LLC,6760 Alexander Bell Drive,Columbia,Maryland,21046,39.1881766,-76.8118374,2013,102,# employees,2022,1/25/2022,23362198,Revenue,2021,1/25/2022,"Resolute Technologies provides innovation engineering solutions for the United States Department of Defense and intelligence community, concentrating on mission critical areas of cybersecurity, cloud computing and software engineering."
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,4,6,Number of employees in Greater Baltimore,102,Computers and Technology,Resolute Technologies LLC,6760 Alexander Bell Drive,Columbia,Maryland,21046,39.1881766,-76.8118374,2013,102,# employees,2022,1/25/2022,23362198,Revenue,2021,1/25/2022,"Resolute Technologies provides innovation engineering solutions for the United States Department of Defense and intelligence community, concentrating on mission critical areas of cybersecurity, cloud computing and software engineering."
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,5,13,Number of employees in Greater Baltimore,100,Computers and Technology,Dragos Inc.,1745 Dorsey Road,Hanover,Maryland,21076,39.1744618,-76.7416287,2016,320,# employees,2021,8/31/2021,,,,,"Dragos has a global mission: to safeguard civilization from those trying to disrupt the industrial infrastructure we depend on every day. The expert practitioners who founded Dragos were drawn to this mission through decades of government and F500 private sector experience spent going head-to-head with highly skilled cyber attackers who threaten the world’s industrial infrastructure. Our solutions combine advanced technology for asset identification, threat detection, and response with the battle-honed insights of our elite team of industrial control systems (ICS) cybersecurity experts. We arm organizations with the tools to identify threats and respond to them before they become significant breaches."
Largest Cybersecurity Companies in Greater Baltimore,9/9/2021 0:00,5,13,Number of employees in Greater Baltimore,100,Computers and Technology,Dragos Inc.,1745 Dorsey Road,Hanover,Maryland,21076,39.1744618,-76.7416287,2016,320,# employees,2021,8/31/2021,,,,,"Dragos has a global mission: to safeguard civilization from those trying to disrupt the industrial infrastructure we depend on every day. The expert practitioners who founded Dragos were drawn to this mission through decades of government and F500 private sector experience spent going head-to-head with highly skilled cyber attackers who threaten the world’s industrial infrastructure. Our solutions combine advanced technology for asset identification, threat detection, and response with the battle-honed insights of our elite team of industrial control systems (ICS) cybersecurity experts. We arm organizations with the tools to identify threats and respond to them before they become significant breaches."
