List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,1,,Number of Baltimore-area employees,1600,General Business,H&S Family of Bakeries,601 S. Caroline St.,Baltimore,Maryland,21231,39.284191,-76.596672,1943,2000,# employees,2022-Q2,7/6/2022,,,,,"The H&S Family of Bakeries including H&S Bakery, Northeast Foods, and Schmidt Baking Company together make up America’s largest family-owned variety baker, proudly providing specialty baked goods to major industry retailers and small businesses in the United States."
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,1,,Number of Baltimore-area employees,1600,General Business,H&S Family of Bakeries,601 S. Caroline St.,Baltimore,Maryland,21231,39.284191,-76.596672,1943,2000,# employees,2022-Q2,7/6/2022,,,,,"The H&S Family of Bakeries including H&S Bakery, Northeast Foods, and Schmidt Baking Company together make up America’s largest family-owned variety baker, proudly providing specialty baked goods to major industry retailers and small businesses in the United States."
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,1,,Number of Baltimore-area employees,1600,General Business,H&S Family of Bakeries,601 S. Caroline St.,Baltimore,Maryland,21231,39.284191,-76.596672,1943,2000,# employees,2022-Q2,7/6/2022,,,,,"The H&S Family of Bakeries including H&S Bakery, Northeast Foods, and Schmidt Baking Company together make up America’s largest family-owned variety baker, proudly providing specialty baked goods to major industry retailers and small businesses in the United States."
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,2,,Number of Baltimore-area employees,710,General Business,B. Green & Co.,1300 S. Monroe St.,Baltimore,Maryland,21230,39.2740155,-76.6414208,1915,710,# employees,2022-Q3,2/17/2022,175000000,"Revenue, Companywide",2021,8/9/2022,Supermarket and Wholesale B2B operator.
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,3,,Number of Baltimore-area employees,353,General Business,Holly Poultry Inc.,2221 Berlin St.,Baltimore,Maryland,21230,39.2683222,-76.6440129,,403,# employees,2022,1/27/2022,,,,,"Holly Poultry Inc., a rapidly growing family-owned Baltimore-based poultry processor and wholesale meat distributor serving customers throughout the mid-Atlantic."
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,3,,Number of Baltimore-area employees,353,General Business,Holly Poultry Inc.,2221 Berlin St.,Baltimore,Maryland,21230,39.2683222,-76.6440129,,403,# employees,2022,1/27/2022,,,,,"Holly Poultry Inc., a rapidly growing family-owned Baltimore-based poultry processor and wholesale meat distributor serving customers throughout the mid-Atlantic."
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,3,,Number of Baltimore-area employees,353,General Business,Holly Poultry Inc.,2221 Berlin St.,Baltimore,Maryland,21230,39.2683222,-76.6440129,,403,# employees,2022,1/27/2022,,,,,"Holly Poultry Inc., a rapidly growing family-owned Baltimore-based poultry processor and wholesale meat distributor serving customers throughout the mid-Atlantic."
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,4,,Number of Baltimore-area employees,163,General Business,Saval Foodservice,6740 Dorsey Road,Elkridge,Maryland,21075,39.1822581,-76.7595257,,163,# employees,2022,1/18/2022,137500000,Revenue,2021,1/18/2022,"Since 1932, Saval Foodservice has been serving Mid-Atlantic restaurants from Philadelphia to Roanoke. We are the largest family-owned, independent broadline foodservice distributor headquarted in the Washington D.C., Maryland, and Virginia areas."
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,4,,Number of Baltimore-area employees,163,General Business,Saval Foodservice,6740 Dorsey Road,Elkridge,Maryland,21075,39.1822581,-76.7595257,,163,# employees,2022,1/18/2022,137500000,Revenue,2021,1/18/2022,"Since 1932, Saval Foodservice has been serving Mid-Atlantic restaurants from Philadelphia to Roanoke. We are the largest family-owned, independent broadline foodservice distributor headquarted in the Washington D.C., Maryland, and Virginia areas."
Largest Food Distributors in Greater Baltimore,2/11/2022 0:00,4,,Number of Baltimore-area employees,163,General Business,Saval Foodservice,6740 Dorsey Road,Elkridge,Maryland,21075,39.1822581,-76.7595257,,163,# employees,2022,1/18/2022,137500000,Revenue,2021,1/18/2022,"Since 1932, Saval Foodservice has been serving Mid-Atlantic restaurants from Philadelphia to Roanoke. We are the largest family-owned, independent broadline foodservice distributor headquarted in the Washington D.C., Maryland, and Virginia areas."
