List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Contact Formal Name,Contact Full Name,Prefix,Business Description
Largest Hotels in Greater Baltimore,3/11/2022 0:00,1,,Total guest rooms,757,Travel and Tourism,Hilton Baltimore Inner Harbor,401 West Pratt St.,Baltimore,Maryland,21201,39.2856106,-76.6213247,,180,# employees,2022,3/4/2022,,,,,Ms. Greg Brown,Greg Brown,Ms.,"Hotel hosting individual travelers, meetings, conventions, banquets and social events.  Adjacent to the Baltimore Convention Center."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,2,,Total guest rooms,754,Travel and Tourism,Baltimore Marriott Waterfront,700 Aliceanna St.,Baltimore,Maryland,21202,39.282959,-76.602783,,177000,# employees,2019,3/6/2019,22894000000,Revenue,2018,3/6/2019,Cindi McMullen,Cindi McMullen,,"Marriott International is an American multinational diversified hospitality company that manages and franchises a broad portfolio of hotels and related lodging facilities. Founded by J. Willard Marriott, the company is now led by his son, Executive Chairman Bill Marriott, and President and Chief Executive Officer Arne Sorenson.   Headquartered in Bethesda, Maryland, in the Washington, D.C. metropolitan area, Marriott International is the largest hotel chain in the world. It has more than 6,500 properties in 127 countries and territories around the world,[1][4] over 1.2 million rooms (as of September 2017), and an additional 195,000 rooms in the development pipeline.[5][6][7] In 2017, Marriott was ranked #33 on Fortune's ""100 Best Companies to Work For"" list, its twentieth appearance on the list."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,2,,Total guest rooms,754,Travel and Tourism,Baltimore Marriott Waterfront,700 Aliceanna St.,Baltimore,Maryland,21202,39.282959,-76.602783,,177000,# employees,2019,3/6/2019,22894000000,Revenue,2018,3/6/2019,Jeanine Carland,Jeanine Carland,,"Marriott International is an American multinational diversified hospitality company that manages and franchises a broad portfolio of hotels and related lodging facilities. Founded by J. Willard Marriott, the company is now led by his son, Executive Chairman Bill Marriott, and President and Chief Executive Officer Arne Sorenson.   Headquartered in Bethesda, Maryland, in the Washington, D.C. metropolitan area, Marriott International is the largest hotel chain in the world. It has more than 6,500 properties in 127 countries and territories around the world,[1][4] over 1.2 million rooms (as of September 2017), and an additional 195,000 rooms in the development pipeline.[5][6][7] In 2017, Marriott was ranked #33 on Fortune's ""100 Best Companies to Work For"" list, its twentieth appearance on the list."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,2,,Total guest rooms,754,Travel and Tourism,Baltimore Marriott Waterfront,700 Aliceanna St.,Baltimore,Maryland,21202,39.282959,-76.602783,,177000,# employees,2019,3/6/2019,22894000000,Revenue,2018,3/6/2019,Terry Donahue,Terry Donahue,,"Marriott International is an American multinational diversified hospitality company that manages and franchises a broad portfolio of hotels and related lodging facilities. Founded by J. Willard Marriott, the company is now led by his son, Executive Chairman Bill Marriott, and President and Chief Executive Officer Arne Sorenson.   Headquartered in Bethesda, Maryland, in the Washington, D.C. metropolitan area, Marriott International is the largest hotel chain in the world. It has more than 6,500 properties in 127 countries and territories around the world,[1][4] over 1.2 million rooms (as of September 2017), and an additional 195,000 rooms in the development pipeline.[5][6][7] In 2017, Marriott was ranked #33 on Fortune's ""100 Best Companies to Work For"" list, its twentieth appearance on the list."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,3,,Total guest rooms,594,Travel and Tourism,Renaissance Baltimore Harborplace Hotel,202 E. Pratt St.,Baltimore,Maryland,21202,39.28662,-76.611242,,600,# employees,2011,2/4/2014,,,,,Chris Madoo,Chris Madoo,,"Audio-visual, special effects, music, decor, etc."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,3,,Total guest rooms,594,Travel and Tourism,Renaissance Baltimore Harborplace Hotel,202 E. Pratt St.,Baltimore,Maryland,21202,39.28662,-76.611242,,600,# employees,2011,2/4/2014,,,,,Majeeda Kellerward,Majeeda Kellerward,,"Audio-visual, special effects, music, decor, etc."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,4,,Total guest rooms,524,Travel and Tourism,Baltimore Marriott Inner Harbor at Camden Yards,110 S. Eutaw St.,Baltimore,Maryland,21201,39.28687,-76.62078,,177,# employees,2009,2/4/2014,,,,,Ms. Onahlea Shimunek,Onahlea Shimunek,Ms.,"fitness center, free Wi-Fi, concierge"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,4,,Total guest rooms,524,Travel and Tourism,Baltimore Marriott Inner Harbor at Camden Yards,110 S. Eutaw St.,Baltimore,Maryland,21201,39.28687,-76.62078,,177,# employees,2009,2/4/2014,,,,,Jessica Oring,Jessica Oring,,"fitness center, free Wi-Fi, concierge"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,5,,Total guest rooms,440,Travel and Tourism,Lord Baltimore Hotel,20 W. Baltimore St.,Baltimore,Maryland,21201,39.289471,-76.616089,,45,# employees,2022,2/17/2022,11000000,Revenue,2021,2/17/2022,Mr. Onahlea Shimunek,Onahlea Shimunek,Mr.,"The Lord Baltimore Hotel, a Historic Hotels of America member, is rich in historical and architectural significance, all coming together to create one of the most unique and interesting hotels in downtown Baltimore. Guests arriving through our revolving doors are greeted by a magnificent lobby featuring a beautiful grand piano, classic oil paintings, polished brass and an award-winning vaulted fresco ceiling with an immense Murano glass chandelier."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,5,,Total guest rooms,440,Travel and Tourism,Lord Baltimore Hotel,20 W. Baltimore St.,Baltimore,Maryland,21201,39.289471,-76.616089,,45,# employees,2022,2/17/2022,11000000,Revenue,2021,2/17/2022,Mr. Lee Johnson-Lowe,Lee Johnson-Lowe,Mr.,"The Lord Baltimore Hotel, a Historic Hotels of America member, is rich in historical and architectural significance, all coming together to create one of the most unique and interesting hotels in downtown Baltimore. Guests arriving through our revolving doors are greeted by a magnificent lobby featuring a beautiful grand piano, classic oil paintings, polished brass and an award-winning vaulted fresco ceiling with an immense Murano glass chandelier."
