List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Manufacturers,2/11/2022 0:00,1,,Baltimore-area employees,11500,Industrial and Manufacturing,Northrop Grumman Corp.,1580A W. Nursery Road,Linthicum,Maryland,21090,39.2051077,-76.6527456,1938,90000,# employees,2022-Q2,7/6/2022,35700000000,Revenue,2021,2/7/2022,"Northrop Grumman is a technology company, focused on global security and human discovery. Our pioneering solutions equip our customers with capabilities they need to connect, advance, and protect the U.S. and its allies. Driven by a shared purpose to solve our customers’ toughest problems, our 90,000 employees define possible every day."
Manufacturers,2/11/2022 0:00,1,,Baltimore-area employees,11500,Industrial and Manufacturing,Northrop Grumman Corp.,1580A W. Nursery Road,Linthicum,Maryland,21090,39.2051077,-76.6527456,1938,90000,# employees,2022-Q2,7/6/2022,35700000000,Revenue,2021,2/7/2022,"Northrop Grumman is a technology company, focused on global security and human discovery. Our pioneering solutions equip our customers with capabilities they need to connect, advance, and protect the U.S. and its allies. Driven by a shared purpose to solve our customers’ toughest problems, our 90,000 employees define possible every day."
Manufacturers,2/11/2022 0:00,1,,Baltimore-area employees,11500,Industrial and Manufacturing,Northrop Grumman Corp.,1580A W. Nursery Road,Linthicum,Maryland,21090,39.2051077,-76.6527456,1938,90000,# employees,2022-Q2,7/6/2022,35700000000,Revenue,2021,2/7/2022,"Northrop Grumman is a technology company, focused on global security and human discovery. Our pioneering solutions equip our customers with capabilities they need to connect, advance, and protect the U.S. and its allies. Driven by a shared purpose to solve our customers’ toughest problems, our 90,000 employees define possible every day."
Manufacturers,2/11/2022 0:00,2,,Baltimore-area employees,3049,Industrial and Manufacturing,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,"McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
Manufacturers,2/11/2022 0:00,2,,Baltimore-area employees,3049,Industrial and Manufacturing,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,"McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
Manufacturers,2/11/2022 0:00,2,,Baltimore-area employees,3049,Industrial and Manufacturing,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,"McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
Manufacturers,2/11/2022 0:00,2,,Baltimore-area employees,3049,Industrial and Manufacturing,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,"McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
Manufacturers,2/11/2022 0:00,2,,Baltimore-area employees,3049,Industrial and Manufacturing,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,"McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
Manufacturers,2/11/2022 0:00,3,,Baltimore-area employees,2667,Industrial and Manufacturing,Stanley Black & Decker Inc.,701 E. Joppa Road,Towson,Maryland,21286,39.400219,-76.590591,1843,70219,# employees,2022-Q2,7/6/2022,15600000000,Revenue,2021,2/9/2022,"Stanley Black & Decker, Inc engages in the tools and storage and industrial businesses worldwide."
Manufacturers,2/11/2022 0:00,3,,Baltimore-area employees,2667,Industrial and Manufacturing,Stanley Black & Decker Inc.,701 E. Joppa Road,Towson,Maryland,21286,39.400219,-76.590591,1843,70219,# employees,2022-Q2,7/6/2022,15600000000,Revenue,2021,2/9/2022,"Stanley Black & Decker, Inc engages in the tools and storage and industrial businesses worldwide."
