List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,1,,Attendance in 2021,21000000,Travel and Tourism,Live! Casino & Hotel/Arundel Mills,7002 Arundel Mills Circle,Hanover,Maryland,21201,39.157851,-76.727705,2012,2199,# employees,2021,4/29/2021,479567194,Revenue,2020,4/29/2021,"The AAA Four Diamond-rated Live! Casino & Hotel Maryland is the premier gaming and entertainment destination located in Hanover, Maryland, at the intersection of the Baltimore/Washington Parkway and Route 100 at Arundel Mills. The property offers convenient access from anywhere in the region, including BWI Thurgood Marshall Airport, MARC and Amtrak stations. 

Live! Casino & Hotel Maryland is the #1 tourist destination in the state, attracting more than 10 million visitors per year seeking a unique setting for world-class entertainment, accommodations, gaming, dining, and incredible shopping at nearby Arundel Mills Mall, all in one location. Casino guests can enjoy non-stop gaming action 24 hours a day, seven days a week, 365 days a year. With its premier location mid-way between Baltimore and Washington, D.C., Live! Casino & Hotel Maryland taps into one of the densest regional markets in the U.S."
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,2,,Attendance in 2021,7100000,Travel and Tourism,Power Plant,601 E. Pratt St.,Baltimore,Maryland,21202,39.286758,-76.607262,1974,,,,,,,,,"Hard Rock Cafe, Barnes And Noble, Dick's Last Resort"
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,2,,Attendance in 2021,7100000,Travel and Tourism,Power Plant,601 E. Pratt St.,Baltimore,Maryland,21202,39.286758,-76.607262,1974,,,,,,,,,"Hard Rock Cafe, Barnes And Noble, Dick's Last Resort"
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,3,,Attendance in 2021,3600000,Travel and Tourism,Horseshoe Casino Baltimore,1525 Russell St.,Baltimore,Maryland,21230,39.27418,-76.6276,2014,54000,# employees,2022,4/29/2022,9600000000,Revenue,2021,4/29/2022,
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,3,,Attendance in 2021,3600000,Travel and Tourism,Horseshoe Casino Baltimore,1525 Russell St.,Baltimore,Maryland,21230,39.27418,-76.6276,2014,54000,# employees,2022,4/29/2022,9600000000,Revenue,2021,4/29/2022,
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,4,,Attendance in 2021,3100000,Travel and Tourism,Power Plant Live!,34 Market Place,Baltimore,Maryland,21202,39.288551,-76.606857,2000,,,,,,,,,"Rams Head Live!, Mex Tequila Bar, Two Boots Pizza, Luckies Tavern and Howl at the Moon"
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,4,,Attendance in 2021,3100000,Travel and Tourism,Power Plant Live!,34 Market Place,Baltimore,Maryland,21202,39.288551,-76.606857,2000,,,,,,,,,"Rams Head Live!, Mex Tequila Bar, Two Boots Pizza, Luckies Tavern and Howl at the Moon"
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,4,,Attendance in 2021,3100000,Travel and Tourism,Power Plant Live!,34 Market Place,Baltimore,Maryland,21202,39.288551,-76.606857,2000,,,,,,,,,"Rams Head Live!, Mex Tequila Bar, Two Boots Pizza, Luckies Tavern and Howl at the Moon"
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,4,,Attendance in 2021,3100000,Travel and Tourism,Power Plant Live!,34 Market Place,Baltimore,Maryland,21202,39.288551,-76.606857,2000,,,,,,,,,"Rams Head Live!, Mex Tequila Bar, Two Boots Pizza, Luckies Tavern and Howl at the Moon"
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,5,,Attendance in 2021,992571,Travel and Tourism,National Aquarium,501 E. Pratt St.,Baltimore,Maryland,21202,39.286709,-76.608437,1981,283,"# Employees, Full Time",2022-Q3,4/29/2022,55835394,Revenue,2021,4/29/2022,"The National Aquarium is a nonprofit organization focused on changing the way humanity cares for our ocean planet. Through unparalleled exhibits, science-based education programs and hands-on field initiatives, we are creating a new community of hopeful conservationists, driven by our mission to inspire conservation of the world's aquatic treasures. For more information on the National Aquarium, visit www.aqua.org."
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,5,,Attendance in 2021,992571,Travel and Tourism,National Aquarium,501 E. Pratt St.,Baltimore,Maryland,21202,39.286709,-76.608437,1981,283,"# Employees, Full Time",2022-Q3,4/29/2022,55835394,Revenue,2021,4/29/2022,"The National Aquarium is a nonprofit organization focused on changing the way humanity cares for our ocean planet. Through unparalleled exhibits, science-based education programs and hands-on field initiatives, we are creating a new community of hopeful conservationists, driven by our mission to inspire conservation of the world's aquatic treasures. For more information on the National Aquarium, visit www.aqua.org."
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,6,,Attendance in 2021,507409,Travel and Tourism,Maryland State Fair & Agricultural Society Inc.,2200 York Road,Timonium,Maryland,21093,39.4466255,-76.6301571,1879,475,"# Employees, Full Time",2015-Q3,9/1/2015,,,,,"Please note: The 2021 Maryland State Fair attendance was 507,409. We do not have figures for the 2020 Maryland State Fair. The Fair, due to COVID-19 safety measures, had to be modified to a livestream Maryland State Fair Youth Livestock Show with exhibitors only able to participate in person."
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,6,,Attendance in 2021,507409,Travel and Tourism,Maryland State Fair & Agricultural Society Inc.,2200 York Road,Timonium,Maryland,21093,39.4466255,-76.6301571,1879,475,"# Employees, Full Time",2015-Q3,9/1/2015,,,,,"Please note: The 2021 Maryland State Fair attendance was 507,409. We do not have figures for the 2020 Maryland State Fair. The Fair, due to COVID-19 safety measures, had to be modified to a livestream Maryland State Fair Youth Livestock Show with exhibitors only able to participate in person."
Largest Tourist Attractions in Greater Baltimore,5/6/2022 0:00,7,,Attendance in 2021,490992,Travel and Tourism,Baltimore Symphony Orchestra,1212 Cathedral Street,Baltimore,Maryland,21201,39.3039828,-76.6189778,1916,140,"# Employees, Full Time",2022-Q3,4/29/2022,32000000,Revenue,2020,9/20/2021,"For over a century, the Baltimore Symphony Orchestra (BSO) has been recognized as one of America’s leading orchestras and one of Maryland’s most significant cultural institutions. The orchestra is internationally renowned and locally admired for its innovation, performances, recordings, and educational outreach initiatives including OrchKids."
