List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Managed IT Firms,6/17/2022 0:00,1,1,Baltimore-area employees,300,Computers and Technology,CyberCore Technologies,6605 Business Parkway,Elkridge,Maryland,21075,39.1871671,-76.7682314,2000,300,# employees,2022-Q2,7/6/2022,,"Revenue, Companywide",2017,6/25/2018,"As a privately held company, CyberCore does not disclose its revenue."
Managed IT Firms,6/17/2022 0:00,2,2,Baltimore-area employees,225,Computers and Technology,Vision Technologies LLC,6704 Curtis Court,Glen Burnie,Maryland,21060,39.192201,-76.5937916,2000,567,# employees,2022,6/14/2022,151000000,"Revenue, Companywide",2021,6/14/2022,"Vision Technologies, Inc., a Maryland-based network integrator, has delivered world-class converged IT
services and solutions since 2000. With 300 local employees and 570 full-time employees
nationally, the company projects growth to $130 million in 2019. In addition, Vision plans to relocate its
headquarters within Anne Arundel County, adding 100 new full-time jobs over the next five years to its
local workforce. Vision not only creates technology jobs but builds culture and careers for its people."
Managed IT Firms,6/17/2022 0:00,2,2,Baltimore-area employees,225,Computers and Technology,Vision Technologies LLC,6704 Curtis Court,Glen Burnie,Maryland,21060,39.192201,-76.5937916,2000,567,# employees,2022,6/14/2022,151000000,"Revenue, Companywide",2021,6/14/2022,"Vision Technologies, Inc., a Maryland-based network integrator, has delivered world-class converged IT
services and solutions since 2000. With 300 local employees and 570 full-time employees
nationally, the company projects growth to $130 million in 2019. In addition, Vision plans to relocate its
headquarters within Anne Arundel County, adding 100 new full-time jobs over the next five years to its
local workforce. Vision not only creates technology jobs but builds culture and careers for its people."
Managed IT Firms,6/17/2022 0:00,3,4,Baltimore-area employees,99,Computers and Technology,"Gross, Mendelsohn & Associates",1801 Porter St.,Baltimore,Maryland,21230,39.2678361,-76.5988408,1993,124,# employees,2022,6/10/2022,24469491,Revenue,2021,6/10/2022,"The firm, a managed service provider, helps keep businesses and families stay safe through cyber security services. We also install and customize ERP systems, develop custom reports, create dashboards for better decision making and provide network support."
Managed IT Firms,6/17/2022 0:00,3,4,Baltimore-area employees,99,Computers and Technology,"Gross, Mendelsohn & Associates",1801 Porter St.,Baltimore,Maryland,21230,39.2678361,-76.5988408,1993,124,# employees,2022,6/10/2022,24469491,Revenue,2021,6/10/2022,"The firm, a managed service provider, helps keep businesses and families stay safe through cyber security services. We also install and customize ERP systems, develop custom reports, create dashboards for better decision making and provide network support."
Managed IT Firms,6/17/2022 0:00,3,4,Baltimore-area employees,99,Computers and Technology,"Gross, Mendelsohn & Associates",1801 Porter St.,Baltimore,Maryland,21230,39.2678361,-76.5988408,1993,124,# employees,2022,6/10/2022,24469491,Revenue,2021,6/10/2022,"The firm, a managed service provider, helps keep businesses and families stay safe through cyber security services. We also install and customize ERP systems, develop custom reports, create dashboards for better decision making and provide network support."
Managed IT Firms,6/17/2022 0:00,4,5,Baltimore-area employees,70,Computers and Technology,Canton Group,2920 O'Donnell St.,Baltimore,Maryland,21224,39.2805277,-76.574639,1998,90,# employees,2022,6/8/2022,15500000,Revenue,2020,6/17/2021,"The Canton Group provides strategic technology and engineering services to public sector, healthcare, education, non-profit, and private sector organizations. We provide transformative and leading edge services to our clients and specialize in agile software development, automation, cloud management, and security."
Managed IT Firms,6/17/2022 0:00,4,9,Baltimore-area employees,70,Computers and Technology,System Source,338 Clubhouse Road,Hunt Valley,Maryland,21031,39.4858081,-76.6630878,1981,70,# employees,2022-Q2,7/13/2022,17451531,"Revenue, Companywide",2021,6/2/2022,"System Source is a regional systems integrator.  We offer the people, processes and tools to help clients improve, maintain and acquire IT and Audio Visual Systems."
Managed IT Firms,6/17/2022 0:00,6,8,Baltimore-area employees,68,Computers and Technology,DP Solutions,9160 Red Branch Road,Columbia,Maryland,21045,39.2315245,-76.821189,,71,# employees,2022,6/6/2022,12080000,"Revenue, Companywide",2021,6/6/2022,"DP Solutions is an award-winning Managed IT Services Provider (MSP) serving the Mid-Atlantic. We function as a true partner to support your long-term initiatives with a breadth of technology expertise including managed IT services, managed cloud solutions, backup and disaster recovery, security and compliance consulting, project services, and a 24x7 Service Desk, which is locally staffed by highly qualified technical support staff. We provide the benefits of a fully staffed IT department for businesses that don't have internal IT staff, or for those looking to augment existing IT staff. In teaming with DP Solutions, we become an extension of your organization. When you choose DP Solutions, you can rest assured that you've employed an experienced team that will work seamlessly with yours, bringing our 50+ years of IT experience to ensure our business relationship is a success."
Managed IT Firms,6/17/2022 0:00,6,8,Baltimore-area employees,68,Computers and Technology,DP Solutions,9160 Red Branch Road,Columbia,Maryland,21045,39.2315245,-76.821189,,71,# employees,2022,6/6/2022,12080000,"Revenue, Companywide",2021,6/6/2022,"DP Solutions is an award-winning Managed IT Services Provider (MSP) serving the Mid-Atlantic. We function as a true partner to support your long-term initiatives with a breadth of technology expertise including managed IT services, managed cloud solutions, backup and disaster recovery, security and compliance consulting, project services, and a 24x7 Service Desk, which is locally staffed by highly qualified technical support staff. We provide the benefits of a fully staffed IT department for businesses that don't have internal IT staff, or for those looking to augment existing IT staff. In teaming with DP Solutions, we become an extension of your organization. When you choose DP Solutions, you can rest assured that you've employed an experienced team that will work seamlessly with yours, bringing our 50+ years of IT experience to ensure our business relationship is a success."
