Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
7/15/2022 0:00,1,,Local employees,22301,Employers and Who's Who,University of Maryland Medical System,250 W. Pratt St.,Baltimore,Maryland,21201,39.286362,-76.618637,1984,27024,# employees,2022-Q2,6/23/2022,4769841000,Revenue,2021,2/15/2022,"The University of Maryland Medical System (UMMS) is a university-based regional health care system focused on serving the health care needs of Maryland, bringing innovation, discovery and research to the care we provide and educating the state’s future physician and health care professionals through our partnership with the University of Maryland School of Medicine and University of Maryland, Baltimore professional schools (Nursing, Pharmacy, Social Work and Dentistry) in Baltimore. As one of the largest private employers in the State, the health system’s more than 27,000 employees and 4,000 affiliated physicians provide primary and specialty care in more than 150 locations, including 12 hospitals and 10 University of Maryland Urgent Care centers. The UMMS flagship academic campus, the University of Maryland Medical Center in downtown Baltimore, is recognized regionally and nationally for excellence and innovation in specialized care.  Our acute care and specialty rehabilitation hospitals serve urban, suburban and rural communities and are located in 13 counties across the State. For more information, visit www.umms.org."
7/15/2022 0:00,1,,Local employees,22301,Employers and Who's Who,University of Maryland Medical System,250 W. Pratt St.,Baltimore,Maryland,21201,39.286362,-76.618637,1984,27024,# employees,2022-Q2,6/23/2022,4769841000,Revenue,2021,2/15/2022,"The University of Maryland Medical System (UMMS) is a university-based regional health care system focused on serving the health care needs of Maryland, bringing innovation, discovery and research to the care we provide and educating the state’s future physician and health care professionals through our partnership with the University of Maryland School of Medicine and University of Maryland, Baltimore professional schools (Nursing, Pharmacy, Social Work and Dentistry) in Baltimore. As one of the largest private employers in the State, the health system’s more than 27,000 employees and 4,000 affiliated physicians provide primary and specialty care in more than 150 locations, including 12 hospitals and 10 University of Maryland Urgent Care centers. The UMMS flagship academic campus, the University of Maryland Medical Center in downtown Baltimore, is recognized regionally and nationally for excellence and innovation in specialized care.  Our acute care and specialty rehabilitation hospitals serve urban, suburban and rural communities and are located in 13 counties across the State. For more information, visit www.umms.org."
7/15/2022 0:00,2,,Local employees,22260,Employers and Who's Who,Johns Hopkins University,3400 N. Charles St.,Baltimore,Maryland,21218,39.32907,-76.6179,1876,26502,# employees,2022-Q2,6/22/2022,,Revenue,2017,7/10/2018,Non-profit.
7/15/2022 0:00,2,,Local employees,22260,Employers and Who's Who,Johns Hopkins University,3400 N. Charles St.,Baltimore,Maryland,21218,39.32907,-76.6179,1876,26502,# employees,2022-Q2,6/22/2022,,Revenue,2017,7/10/2018,Non-profit.
7/15/2022 0:00,3,,Local employees,22173,Employers and Who's Who,Johns Hopkins Health System,1800 Orleans St.,Baltimore,Maryland,21287,39.29535,-76.591938,1986,31003,# employees,2022-Q2,7/6/2022,9561015000,Revenue,2021,2/16/2022,
7/15/2022 0:00,4,,Local employees,12107,Employers and Who's Who,LifeBridge Health,2401 W. Belvedere Ave.,Baltimore,Maryland,21215,39.354698,-76.662277,1998,12107,# employees,2022-Q2,7/1/2022,2395547000,Revenue,2021,2/14/2022,"LifeBridge Health consists of Sinai Hospital, Northwest Hospital, Carroll Hospital, Grace Medical Center, Levindale Hebrew Geriatric Center and Hospital, and its subsidiaries and affiliated units, including LifeBridge Health & Fitness. Sinai, Northwest and Carroll hospitals are acute-care general hospitals with complementary clinical centers of excellence. With more than 12,000 employees and a vast physician network, LifeBridge Health provides patients with a continuum of care as a partner for lifelong health. The LifeBridge Health network includes more than 1,700 physicians, with additional physician assistants and nurse practitioners.   LifeBridge Health is one of the largest and most comprehensive providers of health-related services to the people of Maryland. Involving patients and their family members as partners in care, LifeBridge Health offers comprehensive treatment, prevention and wellness services. In addition, LifeBridge Health provides programs to educate and support our communities. More on LifeBridge Health is available at www.lifebridgehealth.org."
7/15/2022 0:00,4,,Local employees,12107,Employers and Who's Who,LifeBridge Health,2401 W. Belvedere Ave.,Baltimore,Maryland,21215,39.354698,-76.662277,1998,12107,# employees,2022-Q2,7/1/2022,2395547000,Revenue,2021,2/14/2022,"LifeBridge Health consists of Sinai Hospital, Northwest Hospital, Carroll Hospital, Grace Medical Center, Levindale Hebrew Geriatric Center and Hospital, and its subsidiaries and affiliated units, including LifeBridge Health & Fitness. Sinai, Northwest and Carroll hospitals are acute-care general hospitals with complementary clinical centers of excellence. With more than 12,000 employees and a vast physician network, LifeBridge Health provides patients with a continuum of care as a partner for lifelong health. The LifeBridge Health network includes more than 1,700 physicians, with additional physician assistants and nurse practitioners.   LifeBridge Health is one of the largest and most comprehensive providers of health-related services to the people of Maryland. Involving patients and their family members as partners in care, LifeBridge Health offers comprehensive treatment, prevention and wellness services. In addition, LifeBridge Health provides programs to educate and support our communities. More on LifeBridge Health is available at www.lifebridgehealth.org."
7/15/2022 0:00,4,,Local employees,12107,Employers and Who's Who,LifeBridge Health,2401 W. Belvedere Ave.,Baltimore,Maryland,21215,39.354698,-76.662277,1998,12107,# employees,2022-Q2,7/1/2022,2395547000,Revenue,2021,2/14/2022,"LifeBridge Health consists of Sinai Hospital, Northwest Hospital, Carroll Hospital, Grace Medical Center, Levindale Hebrew Geriatric Center and Hospital, and its subsidiaries and affiliated units, including LifeBridge Health & Fitness. Sinai, Northwest and Carroll hospitals are acute-care general hospitals with complementary clinical centers of excellence. With more than 12,000 employees and a vast physician network, LifeBridge Health provides patients with a continuum of care as a partner for lifelong health. The LifeBridge Health network includes more than 1,700 physicians, with additional physician assistants and nurse practitioners.   LifeBridge Health is one of the largest and most comprehensive providers of health-related services to the people of Maryland. Involving patients and their family members as partners in care, LifeBridge Health offers comprehensive treatment, prevention and wellness services. In addition, LifeBridge Health provides programs to educate and support our communities. More on LifeBridge Health is available at www.lifebridgehealth.org."
7/15/2022 0:00,4,,Local employees,12107,Employers and Who's Who,LifeBridge Health,2401 W. Belvedere Ave.,Baltimore,Maryland,21215,39.354698,-76.662277,1998,12107,# employees,2022-Q2,7/1/2022,2395547000,Revenue,2021,2/14/2022,"LifeBridge Health consists of Sinai Hospital, Northwest Hospital, Carroll Hospital, Grace Medical Center, Levindale Hebrew Geriatric Center and Hospital, and its subsidiaries and affiliated units, including LifeBridge Health & Fitness. Sinai, Northwest and Carroll hospitals are acute-care general hospitals with complementary clinical centers of excellence. With more than 12,000 employees and a vast physician network, LifeBridge Health provides patients with a continuum of care as a partner for lifelong health. The LifeBridge Health network includes more than 1,700 physicians, with additional physician assistants and nurse practitioners.   LifeBridge Health is one of the largest and most comprehensive providers of health-related services to the people of Maryland. Involving patients and their family members as partners in care, LifeBridge Health offers comprehensive treatment, prevention and wellness services. In addition, LifeBridge Health provides programs to educate and support our communities. More on LifeBridge Health is available at www.lifebridgehealth.org."
7/15/2022 0:00,4,,Local employees,12107,Employers and Who's Who,LifeBridge Health,2401 W. Belvedere Ave.,Baltimore,Maryland,21215,39.354698,-76.662277,1998,12107,# employees,2022-Q2,7/1/2022,2395547000,Revenue,2021,2/14/2022,"LifeBridge Health consists of Sinai Hospital, Northwest Hospital, Carroll Hospital, Grace Medical Center, Levindale Hebrew Geriatric Center and Hospital, and its subsidiaries and affiliated units, including LifeBridge Health & Fitness. Sinai, Northwest and Carroll hospitals are acute-care general hospitals with complementary clinical centers of excellence. With more than 12,000 employees and a vast physician network, LifeBridge Health provides patients with a continuum of care as a partner for lifelong health. The LifeBridge Health network includes more than 1,700 physicians, with additional physician assistants and nurse practitioners.   LifeBridge Health is one of the largest and most comprehensive providers of health-related services to the people of Maryland. Involving patients and their family members as partners in care, LifeBridge Health offers comprehensive treatment, prevention and wellness services. In addition, LifeBridge Health provides programs to educate and support our communities. More on LifeBridge Health is available at www.lifebridgehealth.org."
