List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Software Developers,6/17/2022 0:00,1,1,2021 local software revenue,48000000,Computers and Technology,Fearless,8 Market Place,Baltimore,Maryland,21202,39.2888915,-76.6069962,2009,214,# employees,2022-Q2,7/6/2022,48000000,"Revenue, Companywide",2021,6/1/2022,"Fearless is a full stack digital services firm in Baltimore that delivers sleek, modern, and user-friendly software designed to push the boundaries of possibility. It's our mission to build software with a soul - tools that empower communities and make a difference - so we can create a world where good software powers the things that matter."
Software Developers,6/17/2022 0:00,1,1,2021 local software revenue,48000000,Computers and Technology,Fearless,8 Market Place,Baltimore,Maryland,21202,39.2888915,-76.6069962,2009,214,# employees,2022-Q2,7/6/2022,48000000,"Revenue, Companywide",2021,6/1/2022,"Fearless is a full stack digital services firm in Baltimore that delivers sleek, modern, and user-friendly software designed to push the boundaries of possibility. It's our mission to build software with a soul - tools that empower communities and make a difference - so we can create a world where good software powers the things that matter."
Software Developers,6/17/2022 0:00,1,1,2021 local software revenue,48000000,Computers and Technology,Fearless,8 Market Place,Baltimore,Maryland,21202,39.2888915,-76.6069962,2009,214,# employees,2022-Q2,7/6/2022,48000000,"Revenue, Companywide",2021,6/1/2022,"Fearless is a full stack digital services firm in Baltimore that delivers sleek, modern, and user-friendly software designed to push the boundaries of possibility. It's our mission to build software with a soul - tools that empower communities and make a difference - so we can create a world where good software powers the things that matter."
Software Developers,6/17/2022 0:00,2,2,2021 local software revenue,22586578,Computers and Technology,Mindgrub Technologies LLC,1215 E. Fort Ave.,Baltimore,Maryland,21230,39.270012,-76.596672,2002,124,# employees,2022-Q2,6/10/2022,21660483,Revenue,2021,4/14/2022,"Mindgrub Technologies is an award-winning digital agency whose mission is to create technology that people love to use - technology that makes lives better, jobs easier, and helps businesses thrive. A member of the Inc. 5000 for nine years running, Mindgrub is headquartered in Baltimore, Maryland with offices in Charlotte, New York City, Philadelphia, and Washington, D.C."
Software Developers,6/17/2022 0:00,3,3,2021 local software revenue,20000000,Computers and Technology,MasterPeace Solutions,6731 Columbia Gateway,Columbia,Maryland,21046,0,0,2009,90,# employees,2022-Q2,5/31/2022,20000000,"Revenue, Companywide",2021,6/7/2022,"Company provides software technology services to its clients and technology product development and business accelerator support to its engineers with the purpose of generating externally funded, commercially viable, stand-alone technology companies.  To date the company has spun off or is in the process of spinning off  Zuul, Inc. (an IIOT Security Management technology), Yikes ! (A secure software defined networking technology), Factchain (A secure Blockchain Applications Development technology), Genusign ( A secure document management and signing technology), <Src Light>  (An Open Source development and support environment), UPLift (A serverless computing technology), and many more technology products and companies in development."
Software Developers,6/17/2022 0:00,3,3,2021 local software revenue,20000000,Computers and Technology,MasterPeace Solutions,6731 Columbia Gateway,Columbia,Maryland,21046,0,0,2009,90,# employees,2022-Q2,5/31/2022,20000000,"Revenue, Companywide",2021,6/7/2022,"Company provides software technology services to its clients and technology product development and business accelerator support to its engineers with the purpose of generating externally funded, commercially viable, stand-alone technology companies.  To date the company has spun off or is in the process of spinning off  Zuul, Inc. (an IIOT Security Management technology), Yikes ! (A secure software defined networking technology), Factchain (A secure Blockchain Applications Development technology), Genusign ( A secure document management and signing technology), <Src Light>  (An Open Source development and support environment), UPLift (A serverless computing technology), and many more technology products and companies in development."
Software Developers,6/17/2022 0:00,3,3,2021 local software revenue,20000000,Computers and Technology,MasterPeace Solutions,6731 Columbia Gateway,Columbia,Maryland,21046,0,0,2009,90,# employees,2022-Q2,5/31/2022,20000000,"Revenue, Companywide",2021,6/7/2022,"Company provides software technology services to its clients and technology product development and business accelerator support to its engineers with the purpose of generating externally funded, commercially viable, stand-alone technology companies.  To date the company has spun off or is in the process of spinning off  Zuul, Inc. (an IIOT Security Management technology), Yikes ! (A secure software defined networking technology), Factchain (A secure Blockchain Applications Development technology), Genusign ( A secure document management and signing technology), <Src Light>  (An Open Source development and support environment), UPLift (A serverless computing technology), and many more technology products and companies in development."
Software Developers,6/17/2022 0:00,4,5,2021 local software revenue,10000000,Computers and Technology,Canton Group,2920 O'Donnell St.,Baltimore,Maryland,21224,39.2805277,-76.574639,1998,90,# employees,2022,6/8/2022,15500000,Revenue,2020,6/17/2021,"The Canton Group provides strategic technology and engineering services to public sector, healthcare, education, non-profit, and private sector organizations. We provide transformative and leading edge services to our clients and specialize in agile software development, automation, cloud management, and security."
Software Developers,6/17/2022 0:00,5,0,2021 local software revenue,9840000,Computers and Technology,Intersect Healthcare Inc.,8600 LaSalle Road,Towson,Maryland,21286,39.395832,-76.5776156,,59,# employees,2022-Q2,6/13/2022,9840000,"Revenue, Companywide",2021,6/13/2022,"Intersect Healthcare, Inc. is one of the nationâ€™s leading providers of revenue recovery services, education, consulting and denial management technology for healthcare providers. Over the years our experts have developed a comprehensive SAAS solution known as ""VERACITY"" for managing audits, risks, denials, and appeals."
Software Developers,6/17/2022 0:00,5,0,2021 local software revenue,9840000,Computers and Technology,Intersect Healthcare Inc.,8600 LaSalle Road,Towson,Maryland,21286,39.395832,-76.5776156,,59,# employees,2022-Q2,6/13/2022,9840000,"Revenue, Companywide",2021,6/13/2022,"Intersect Healthcare, Inc. is one of the nationâ€™s leading providers of revenue recovery services, education, consulting and denial management technology for healthcare providers. Over the years our experts have developed a comprehensive SAAS solution known as ""VERACITY"" for managing audits, risks, denials, and appeals."
