List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Private Companies,8/19/2022 0:00,1,1,2021 revenue,14500000000,Employers and Who's Who,Allegis Group Inc.,7301 Parkway Drive,Hanover,Maryland,21076,39.17371,-76.737117,1993,27000,# employees,2022-Q2,7/12/2022,14500000000,"Revenue, Companywide",2021,8/8/2022,"At Allegis Group, we exist to create opportunity for our clients, our candidates, and each other. Through a network of specialized companies, we connect great people with great opportunities, helping businesses win and careers soar."
Private Companies,8/19/2022 0:00,2,2,2021 revenue,8353517095,Employers and Who's Who,Whiting-Turner Contracting Co.,300 E. Joppa Road,Towson,Maryland,21286,39.40209,-76.59844,1909,4227,# employees,2022-Q2,7/7/2022,8353517095,"Revenue, Companywide",2021,3/10/2022,"The Whiting-Turner Contracting Company was founded in 1909 and has continued to be successful ever since by providing construction management, general contracting, and design/build services nationwide. With over 51 offices across the country, Whiting-Turner has been consistently ranked by ENR as a top builder of Higher Education, Healthcare, Retail, and Office facilities. Our in-house services include Program Management, preconstruction services; including conceptual budgeting, value engineering, constructibility review, mechanical/electrical reviews and planning and scheduling. Our construction services include quality assurance and control, safety, on-site project management, on-site project reporting and start-up commissioning. Whiting-Turner also provides post-construction reviews and LEED/Sustainability coordination."
Private Companies,8/19/2022 0:00,3,3,2021 revenue,7124000000,Employers and Who's Who,DPR Construction,6716 Alexander Bell Drive,Columbia,Maryland,21046,39.1881873,-76.8105088,,8340,# employees,2022,4/5/2022,7124000000,"Revenue, Companywide",2021,4/5/2022,"DPR Construction is a unique technical builder with a passion for results. Ranked in the top 50 general contractors in the country since 1997, we are a national commercial contractor and construction manager that has grown with our customers by delivering measurably more value.
Whether a multi-million-dollar technical facility or a conference room renovation, we execute every project with relentless accountability. We listen to your goals. We develop strategies based on your business. We track our performance. We do everything we can to earn your trust and build great lasting relationships.
Trust and open communication are the foundation of every project. Issues always arise. It is how those items are handled and communicated that makes all the difference. At DPR, we put our experience and expertise to work to create new processes and offer practical solutions, along with pricing and schedule impacts, for timely and informed decision-making. This is what it means to be part of a collaborative team—working together to develop methods and find solutions to ensure project success.
DPR has operated in Maryland since 2001 and established an office in 2013. The Maryland Team contains a special services group for small or extreme technical projects and 98 administrative and craft employees to serve large-scale projects. We continue to increase our portfolio within the greater Baltimore area and our commitment to Maryland."
Private Companies,8/19/2022 0:00,3,3,2021 revenue,7124000000,Employers and Who's Who,DPR Construction,6716 Alexander Bell Drive,Columbia,Maryland,21046,39.1881873,-76.8105088,,8340,# employees,2022,4/5/2022,7124000000,"Revenue, Companywide",2021,4/5/2022,"DPR Construction is a unique technical builder with a passion for results. Ranked in the top 50 general contractors in the country since 1997, we are a national commercial contractor and construction manager that has grown with our customers by delivering measurably more value.
Whether a multi-million-dollar technical facility or a conference room renovation, we execute every project with relentless accountability. We listen to your goals. We develop strategies based on your business. We track our performance. We do everything we can to earn your trust and build great lasting relationships.
Trust and open communication are the foundation of every project. Issues always arise. It is how those items are handled and communicated that makes all the difference. At DPR, we put our experience and expertise to work to create new processes and offer practical solutions, along with pricing and schedule impacts, for timely and informed decision-making. This is what it means to be part of a collaborative team—working together to develop methods and find solutions to ensure project success.
DPR has operated in Maryland since 2001 and established an office in 2013. The Maryland Team contains a special services group for small or extreme technical projects and 98 administrative and craft employees to serve large-scale projects. We continue to increase our portfolio within the greater Baltimore area and our commitment to Maryland."
Private Companies,8/19/2022 0:00,3,3,2021 revenue,7124000000,Employers and Who's Who,DPR Construction,6716 Alexander Bell Drive,Columbia,Maryland,21046,39.1881873,-76.8105088,,8340,# employees,2022,4/5/2022,7124000000,"Revenue, Companywide",2021,4/5/2022,"DPR Construction is a unique technical builder with a passion for results. Ranked in the top 50 general contractors in the country since 1997, we are a national commercial contractor and construction manager that has grown with our customers by delivering measurably more value.
Whether a multi-million-dollar technical facility or a conference room renovation, we execute every project with relentless accountability. We listen to your goals. We develop strategies based on your business. We track our performance. We do everything we can to earn your trust and build great lasting relationships.
Trust and open communication are the foundation of every project. Issues always arise. It is how those items are handled and communicated that makes all the difference. At DPR, we put our experience and expertise to work to create new processes and offer practical solutions, along with pricing and schedule impacts, for timely and informed decision-making. This is what it means to be part of a collaborative team—working together to develop methods and find solutions to ensure project success.
DPR has operated in Maryland since 2001 and established an office in 2013. The Maryland Team contains a special services group for small or extreme technical projects and 98 administrative and craft employees to serve large-scale projects. We continue to increase our portfolio within the greater Baltimore area and our commitment to Maryland."
Private Companies,8/19/2022 0:00,3,3,2021 revenue,7124000000,Employers and Who's Who,DPR Construction,6716 Alexander Bell Drive,Columbia,Maryland,21046,39.1881873,-76.8105088,,8340,# employees,2022,4/5/2022,7124000000,"Revenue, Companywide",2021,4/5/2022,"DPR Construction is a unique technical builder with a passion for results. Ranked in the top 50 general contractors in the country since 1997, we are a national commercial contractor and construction manager that has grown with our customers by delivering measurably more value.
Whether a multi-million-dollar technical facility or a conference room renovation, we execute every project with relentless accountability. We listen to your goals. We develop strategies based on your business. We track our performance. We do everything we can to earn your trust and build great lasting relationships.
Trust and open communication are the foundation of every project. Issues always arise. It is how those items are handled and communicated that makes all the difference. At DPR, we put our experience and expertise to work to create new processes and offer practical solutions, along with pricing and schedule impacts, for timely and informed decision-making. This is what it means to be part of a collaborative team—working together to develop methods and find solutions to ensure project success.
DPR has operated in Maryland since 2001 and established an office in 2013. The Maryland Team contains a special services group for small or extreme technical projects and 98 administrative and craft employees to serve large-scale projects. We continue to increase our portfolio within the greater Baltimore area and our commitment to Maryland."
Private Companies,8/19/2022 0:00,4,4,2021 revenue,3471437000,Employers and Who's Who,DLA Piper,6225 Smith Ave.,Baltimore,Maryland,21209,39.372135,-76.660004,2005,10150,# employees,2022-Q1,4/26/2022,3471437000,"Revenue, Companywide",2021,8/12/2022,"DLA Piper is a global law firm with lawyers located in more than 40 countries throughout the Americas, Europe, the Middle East, Africa and Asia Pacific, positioning us to help clients with their legal needs around the world. In certain jurisdictions, this information may be considered attorney advertising."
Private Companies,8/19/2022 0:00,5,5,2021 revenue,2791000000,Employers and Who's Who,Bozzuto,6406 Ivy Lane,Greenbelt,Maryland,20770,39.0089888,-76.8952552,,2903,# employees,2021-Q2,7/9/2021,2791000000,"Revenue, Companywide",2021,8/17/2022,"Bozzuto is an experience-focused real estate company distinguished by their innovative developments, dedicated customer service and top-rated workplace culture. With award-winning expertise in homebuilding, multifamily development, construction and management, Bozzuto is on a mission to create sanctuary for those they serve."
Private Companies,8/19/2022 0:00,5,5,2021 revenue,2791000000,Employers and Who's Who,Bozzuto,6406 Ivy Lane,Greenbelt,Maryland,20770,39.0089888,-76.8952552,,2903,# employees,2021-Q2,7/9/2021,2791000000,"Revenue, Companywide",2021,8/17/2022,"Bozzuto is an experience-focused real estate company distinguished by their innovative developments, dedicated customer service and top-rated workplace culture. With award-winning expertise in homebuilding, multifamily development, construction and management, Bozzuto is on a mission to create sanctuary for those they serve."
Private Companies,8/19/2022 0:00,6,6,2021 revenue,760878371,Employers and Who's Who,Cordish Companies/Live!,7002 Arundel Mills Circle,Hanover,Maryland,21076,39.157851,-76.727705,1910,15000,# employees,2022-Q2,7/15/2022,760878371,"Revenue, Companywide",2021,8/16/2022,"The four-time AAA Four Diamond rated Live! Casino & Hotel Maryland is one of the largest and most luxurious commercial casinos in the country. Offering guests a range of activities including gaming, entertainment, world-class dining and hotel accommodations, Live! Casino & Hotel is consistently ranked the top tourist attraction in the state. Located between Washington, D.C. and Baltimore, and adjacent to the popular Arundel Mills Mall, the property features one of the area’s biggest entertainment venues, The HALL at Live!, along with Maryland’s #1 Sportsbook with partner FanDuel at Sports & Social Maryland. Other amenities include 200 live action table games, a large Poker Room, approximately 4,000 slot machines, two High Limit Rooms, and the Orchid Gaming & Smoking Patio. The award-winning hotel features 310 luxury guest rooms and The Cordish Art Collection complete with more than 40 pieces of contemporary art from world-renowned artists including Andy Warhol. Multiple dining options and guest services round out the experience at Live! Casino & Hotel Maryland. Live! Casino & Hotel Maryland is owned and operated by a company that is affiliated with The Cordish Companies. More information can be found at LiveCasinoHotel.com."
